subregion,subregion_name,year,native_class,pixel_count,area_ha
190202,Prince William Sound,1997,Defoliation,78031,7022.79
190202,Prince William Sound,1997,Main stem Broken or Uprooted,444,39.96
190202,Prince William Sound,1997,Mortality,3167,285.03
190202,Prince William Sound,1998,Defoliation,555,49.95
190202,Prince William Sound,1998,Mortality,943,84.87
190202,Prince William Sound,1999,Defoliation,261,23.49
190202,Prince William Sound,1999,Mortality,2364,212.76
190202,Prince William Sound,2001,Defoliation,56752,5107.68
190202,Prince William Sound,2001,Mortality,613,55.17
190202,Prince William Sound,2002,Defoliation,13574,1221.66
190202,Prince William Sound,2002,Mortality,3,0.27
190202,Prince William Sound,2003,Defoliation,6004,540.36
190202,Prince William Sound,2003,Main stem Broken or Uprooted,20,1.8
190202,Prince William Sound,2004,Defoliation,468,42.12
190202,Prince William Sound,2004,Mortality,938,84.42
190202,Prince William Sound,2005,Defoliation,37551,3379.59
190202,Prince William Sound,2005,Mortality,1899,170.91
190202,Prince William Sound,2006,Defoliation,2358,212.22
190202,Prince William Sound,2006,Mortality,1866,167.94
190202,Prince William Sound,2007,Defoliation,33527,3017.43
190202,Prince William Sound,2007,Mortality,1229,110.61
190202,Prince William Sound,2008,Defoliation,8893,800.37
190202,Prince William Sound,2008,Main stem Broken or Uprooted,46,4.14
190202,Prince William Sound,2008,Mortality,641,57.69
190202,Prince William Sound,2009,Crown Dieback,908,81.72
190202,Prince William Sound,2009,Defoliation,2898,260.82
190202,Prince William Sound,2010,Crown Dieback,201,18.09
190202,Prince William Sound,2010,Mortality,282,25.38
190202,Prince William Sound,2011,Crown Dieback,13407,1206.63
190202,Prince William Sound,2011,Defoliation,11692,1052.28
190202,Prince William Sound,2011,Mortality,31958,2876.22
190202,Prince William Sound,2012,Crown Dieback,31,2.79
190202,Prince William Sound,2012,Defoliation,15722,1414.98
190202,Prince William Sound,2012,Mortality,73,6.57
190202,Prince William Sound,2013,Crown Dieback,127,11.43
190202,Prince William Sound,2013,Defoliation,1952,175.68
190202,Prince William Sound,2013,Mortality,20,1.8
190202,Prince William Sound,2014,Crown Dieback,6078,547.02
190202,Prince William Sound,2014,Defoliation,41,3.69
190202,Prince William Sound,2014,Mortality,344,30.96
190202,Prince William Sound,2015,Crown Dieback,181,16.29
190202,Prince William Sound,2015,Defoliation,4273,384.57
190202,Prince William Sound,2015,Mortality,686,61.74
190202,Prince William Sound,2016,Crown Dieback,549,49.41
190202,Prince William Sound,2016,Defoliation 50-75% of leaves defoliated,4554,409.86
190202,Prince William Sound,2016,Defoliation > 75% of leaves defoliated,203,18.27
190202,Prince William Sound,2016,Mortality,1471,132.39
190202,Prince William Sound,2017,Branch flagging,4790,431.1
190202,Prince William Sound,2017,Defoliation 50-75% of leaves defoliated,54,4.86
190202,Prince William Sound,2017,Mortality,41,3.69
190202,Prince William Sound,2018,Branch flagging,122,10.98
190202,Prince William Sound,2018,Crown Dieback,76,6.84
190202,Prince William Sound,2018,Defoliation 50-75% of leaves defoliated,304,27.36
190202,Prince William Sound,2018,Mortality,1532,137.88
190202,Prince William Sound,2020,Mortality,8400,756.0
190202,Prince William Sound,2021,Mortality,305,27.45
190202,Prince William Sound,2021,Mortality - Previously Undocumented,24,2.16
190202,Prince William Sound,2022,Defoliation 50-75% of leaves defoliated,82,7.38
190202,Prince William Sound,2022,Defoliation > 75% of leaves defoliated,333,29.97
190202,Prince William Sound,2022,Mortality - Previously Undocumented,80,7.2
190202,Prince William Sound,2023,Defoliation 50-75% of leaves defoliated,254,22.86
190202,Prince William Sound,2023,Defoliation > 75% of leaves defoliated,413,37.17
190202,Prince William Sound,2023,Mortality,272,24.48
190202,Prince William Sound,2023,Mortality - Previously Undocumented,1082,97.38
190202,Prince William Sound,2024,Crown Dieback,347,31.23
190202,Prince William Sound,2024,Mortality,277,24.93
190202,Prince William Sound,2024,Mortality - Previously Undocumented,70,6.3
190202,Prince William Sound,2025,Defoliation 50-75% of leaves defoliated,211663,19049.67
190202,Prince William Sound,2025,Mortality,106,9.54
190203,Kenai Peninsula,1997,Crown Discoloration,48418,4357.62
190203,Kenai Peninsula,1997,Defoliation,4374,393.66
190203,Kenai Peninsula,1997,Main stem Broken or Uprooted,3521,316.89
190203,Kenai Peninsula,1997,Mortality,1238956,111506.04
190203,Kenai Peninsula,1998,Crown Discoloration,451,40.59
190203,Kenai Peninsula,1998,Defoliation,66679,6001.11
190203,Kenai Peninsula,1998,Mortality,741752,66757.68
190203,Kenai Peninsula,1999,Defoliation,2620,235.8
190203,Kenai Peninsula,1999,Mortality,299972,26997.48
190203,Kenai Peninsula,2000,Defoliation,3520,316.8
190203,Kenai Peninsula,2000,Mortality,234979,21148.11
190203,Kenai Peninsula,2001,Defoliation,6527,587.43
190203,Kenai Peninsula,2001,Mortality,146284,13165.56
190203,Kenai Peninsula,2002,Defoliation,4564,410.76
190203,Kenai Peninsula,2002,Main stem Broken or Uprooted,2,0.18
190203,Kenai Peninsula,2002,Mortality,43355,3901.95
190203,Kenai Peninsula,2003,Defoliation,6255,562.95
190203,Kenai Peninsula,2003,Mortality,78524,7067.16
190203,Kenai Peninsula,2004,Defoliation,7531,677.79
190203,Kenai Peninsula,2004,Mortality,28827,2594.43
190203,Kenai Peninsula,2005,Defoliation,12507,1125.63
190203,Kenai Peninsula,2005,Main stem Broken or Uprooted,200,18.0
190203,Kenai Peninsula,2005,Mortality,75128,6761.52
190203,Kenai Peninsula,2006,Crown Discoloration,50,4.5
190203,Kenai Peninsula,2006,Defoliation,14619,1315.71
190203,Kenai Peninsula,2006,Mortality,60797,5471.73
190203,Kenai Peninsula,2007,Defoliation,3276,294.84
190203,Kenai Peninsula,2007,Mortality,94329,8489.61
190203,Kenai Peninsula,2009,Crown Dieback,108,9.72
190203,Kenai Peninsula,2009,Defoliation,83316,7498.44
190203,Kenai Peninsula,2009,Mortality,38078,3427.02
190203,Kenai Peninsula,2010,Crown Dieback,5066,455.94
190203,Kenai Peninsula,2010,Crown Discoloration,61,5.49
190203,Kenai Peninsula,2010,Defoliation,21400,1926.0
190203,Kenai Peninsula,2010,Mortality,16240,1461.6
190203,Kenai Peninsula,2011,Crown Dieback,31682,2851.38
190203,Kenai Peninsula,2011,Crown Discoloration,115,10.35
190203,Kenai Peninsula,2011,Defoliation,53342,4800.78
190203,Kenai Peninsula,2011,Mortality,22735,2046.15
190203,Kenai Peninsula,2012,Crown Dieback,83,7.47
190203,Kenai Peninsula,2012,Defoliation,55246,4972.14
190203,Kenai Peninsula,2012,Mortality,5657,509.13
190203,Kenai Peninsula,2013,Crown Dieback,15213,1369.17
190203,Kenai Peninsula,2013,Defoliation,197770,17799.3
190203,Kenai Peninsula,2013,Mortality,1038,93.42
190203,Kenai Peninsula,2014,Crown Dieback,9766,878.94
190203,Kenai Peninsula,2014,Defoliation,15444,1389.96
190203,Kenai Peninsula,2014,Mortality,991,89.19
190203,Kenai Peninsula,2015,Crown Dieback,1505,135.45
190203,Kenai Peninsula,2015,Defoliation,57790,5201.1
190203,Kenai Peninsula,2015,Mortality,33478,3013.02
190203,Kenai Peninsula,2016,Branch flagging,256,23.04
190203,Kenai Peninsula,2016,Crown Dieback,1372,123.48
190203,Kenai Peninsula,2016,Defoliation 50-75% of leaves defoliated,37772,3399.48
190203,Kenai Peninsula,2016,Defoliation < 50% of leaves defoliated,15078,1357.02
190203,Kenai Peninsula,2016,Defoliation > 75% of leaves defoliated,64886,5839.74
190203,Kenai Peninsula,2016,Mortality,73211,6588.99
190203,Kenai Peninsula,2017,Crown Dieback,26407,2376.63
190203,Kenai Peninsula,2017,Defoliation 50-75% of leaves defoliated,1110,99.9
190203,Kenai Peninsula,2017,Defoliation > 75% of leaves defoliated,913,82.17
190203,Kenai Peninsula,2017,Mortality,249179,22426.11
190203,Kenai Peninsula,2018,Branch flagging,510,45.9
190203,Kenai Peninsula,2018,Crown Dieback,23,2.07
190203,Kenai Peninsula,2018,Crown Discoloration,1368,123.12
190203,Kenai Peninsula,2018,Defoliation 50-75% of leaves defoliated,58753,5287.77
190203,Kenai Peninsula,2018,Defoliation > 75% of leaves defoliated,312,28.08
190203,Kenai Peninsula,2018,Mortality,215056,19355.04
190203,Kenai Peninsula,2019,Branch flagging,114,10.26
190203,Kenai Peninsula,2019,Crown Dieback,50,4.5
190203,Kenai Peninsula,2019,Crown Discoloration,4,0.36
190203,Kenai Peninsula,2019,Defoliation 50-75% of leaves defoliated,37057,3335.13
190203,Kenai Peninsula,2019,Defoliation > 75% of leaves defoliated,347330,31259.7
190203,Kenai Peninsula,2019,Mortality,27449,2470.41
190203,Kenai Peninsula,2020,Crown Dieback,10,0.9
190203,Kenai Peninsula,2020,Defoliation 50-75% of leaves defoliated,822,73.98
190203,Kenai Peninsula,2020,Defoliation > 75% of leaves defoliated,2903,261.27
190203,Kenai Peninsula,2020,Mortality,96262,8663.58
190203,Kenai Peninsula,2020,Mortality - Previously Undocumented,2222,199.98
190203,Kenai Peninsula,2021,Branch flagging,130,11.7
190203,Kenai Peninsula,2021,Crown Dieback,455,40.95
190203,Kenai Peninsula,2021,Crown Discoloration,602,54.18
190203,Kenai Peninsula,2021,Defoliation 50-75% of leaves defoliated,1770,159.3
190203,Kenai Peninsula,2021,Defoliation > 75% of leaves defoliated,2943,264.87
190203,Kenai Peninsula,2021,Mortality,108236,9741.24
190203,Kenai Peninsula,2021,Mortality - Previously Undocumented,85441,7689.69
190203,Kenai Peninsula,2022,Branch flagging,6,0.54
190203,Kenai Peninsula,2022,Crown Dieback,1369,123.21
190203,Kenai Peninsula,2022,Defoliation 50-75% of leaves defoliated,14223,1280.07
190203,Kenai Peninsula,2022,Defoliation > 75% of leaves defoliated,26224,2360.16
190203,Kenai Peninsula,2022,Mortality,131062,11795.58
190203,Kenai Peninsula,2022,Mortality - Previously Undocumented,184767,16629.03
190203,Kenai Peninsula,2023,Branch flagging,149,13.41
190203,Kenai Peninsula,2023,Crown Dieback,57,5.13
190203,Kenai Peninsula,2023,Crown Discoloration,921,82.89
190203,Kenai Peninsula,2023,Defoliation 50-75% of leaves defoliated,5052,454.68
190203,Kenai Peninsula,2023,Defoliation > 75% of leaves defoliated,15139,1362.51
190203,Kenai Peninsula,2023,Mortality,113529,10217.61
190203,Kenai Peninsula,2023,Mortality - Previously Undocumented,358074,32226.66
190203,Kenai Peninsula,2024,Crown Dieback,59,5.31
190203,Kenai Peninsula,2024,Crown Discoloration,525,47.25
190203,Kenai Peninsula,2024,Defoliation 50-75% of leaves defoliated,5907,531.63
190203,Kenai Peninsula,2024,Defoliation > 75% of leaves defoliated,20,1.8
190203,Kenai Peninsula,2024,Mortality,9784,880.56
190203,Kenai Peninsula,2024,Mortality - Previously Undocumented,39244,3531.96
190203,Kenai Peninsula,2024,Other Damage (known),478,43.02
190203,Kenai Peninsula,2025,Defoliation 50-75% of leaves defoliated,92410,8316.9
