subregion,subregion_name,year,attributed_pixels,single_label_pixels,multi_label_pixels,pct_multi_label
190202,Prince William Sound,1997,81642,81642,0,0.0
190202,Prince William Sound,1998,1498,1498,0,0.0
190202,Prince William Sound,1999,2625,2625,0,0.0
190202,Prince William Sound,2001,57365,57365,0,0.0
190202,Prince William Sound,2002,13577,13577,0,0.0
190202,Prince William Sound,2003,6024,6024,0,0.0
190202,Prince William Sound,2004,1406,1406,0,0.0
190202,Prince William Sound,2005,39450,39450,0,0.0
190202,Prince William Sound,2006,4224,4224,0,0.0
190202,Prince William Sound,2007,34756,34756,0,0.0
190202,Prince William Sound,2008,9580,9580,0,0.0
190202,Prince William Sound,2009,3806,3806,0,0.0
190202,Prince William Sound,2010,483,483,0,0.0
190202,Prince William Sound,2011,57057,57057,0,0.0
190202,Prince William Sound,2012,15826,15826,0,0.0
190202,Prince William Sound,2013,2099,2099,0,0.0
190202,Prince William Sound,2014,6463,6463,0,0.0
190202,Prince William Sound,2015,5140,5140,0,0.0
190202,Prince William Sound,2016,6777,6777,0,0.0
190202,Prince William Sound,2017,4885,4885,0,0.0
190202,Prince William Sound,2018,2034,2034,0,0.0
190202,Prince William Sound,2020,8400,8400,0,0.0
190202,Prince William Sound,2021,329,329,0,0.0
190202,Prince William Sound,2022,495,495,0,0.0
190202,Prince William Sound,2023,1749,1749,0,0.0
190202,Prince William Sound,2024,694,694,0,0.0
190202,Prince William Sound,2025,211769,211769,0,0.0
190203,Kenai Peninsula,1997,1295269,1295269,0,0.0
190203,Kenai Peninsula,1998,808882,808882,0,0.0
190203,Kenai Peninsula,1999,302592,302592,0,0.0
190203,Kenai Peninsula,2000,238499,238499,0,0.0
190203,Kenai Peninsula,2001,152811,152811,0,0.0
190203,Kenai Peninsula,2002,47838,47755,83,0.1735
190203,Kenai Peninsula,2003,84779,84779,0,0.0
190203,Kenai Peninsula,2004,36358,36358,0,0.0
190203,Kenai Peninsula,2005,87835,87835,0,0.0
190203,Kenai Peninsula,2006,75466,75466,0,0.0
190203,Kenai Peninsula,2007,97605,97605,0,0.0
190203,Kenai Peninsula,2009,121502,121502,0,0.0
190203,Kenai Peninsula,2010,42767,42767,0,0.0
190203,Kenai Peninsula,2011,107874,107828,46,0.0426
190203,Kenai Peninsula,2012,60986,58630,2356,3.8632
190203,Kenai Peninsula,2013,209517,204910,4607,2.1989
190203,Kenai Peninsula,2014,26201,26201,0,0.0
190203,Kenai Peninsula,2015,92773,92773,0,0.0
190203,Kenai Peninsula,2016,192546,192517,29,0.0151
190203,Kenai Peninsula,2017,277609,277609,0,0.0
190203,Kenai Peninsula,2018,275212,274402,810,0.2943
190203,Kenai Peninsula,2019,408816,405628,3188,0.7798
190203,Kenai Peninsula,2020,102219,102219,0,0.0
190203,Kenai Peninsula,2021,181385,181284,101,0.0557
