subregion,subregion_name,native_class,pixel_count,area_ha
190101,Southern Southeast Alaska,Chrysomela leaf beetle,476,42.84
190101,Southern Southeast Alaska,Dothistroma needle blight (D. septosporum),3003,270.27
190101,Southern Southeast Alaska,birch leafroller,780,70.2
190101,Southern Southeast Alaska,common porcupine,5047,454.23
190101,Southern Southeast Alaska,defoliators,14196,1277.64
190101,Southern Southeast Alaska,fire,435,39.15
190101,Southern Southeast Alaska,flooding-high water,17993,1619.37
190101,Southern Southeast Alaska,hemlock canker,3898,350.82
190101,Southern Southeast Alaska,hemlock sawfly,936223,84260.07
190101,Southern Southeast Alaska,large-spored spruce-Labrador tea rust,295,26.55
190101,Southern Southeast Alaska,mortality,1409,126.81
190101,Southern Southeast Alaska,mud-land slide,15906,1431.54
190101,Southern Southeast Alaska,spruce aphid,182445,16420.05
190101,Southern Southeast Alaska,spruce beetle,19613,1765.17
190101,Southern Southeast Alaska,unknown,58967,5307.03
190101,Southern Southeast Alaska,unknown canker,14,1.26
190101,Southern Southeast Alaska,unknown defoliator,64457,5801.13
190101,Southern Southeast Alaska,western blackheaded budworm,967078,87037.02
190101,Southern Southeast Alaska,western gall rust,8170,735.3
190101,Southern Southeast Alaska,wind-tornado/hurricane,14623,1316.07
190101,Southern Southeast Alaska,yellow-cedar decline,906985,81628.65
190102,Central Southeast Alaska,<Dryocoetes autographus>,854,76.86
190102,Central Southeast Alaska,Chrysomela leaf beetle,1021,91.89
190102,Central Southeast Alaska,Dothistroma needle blight (D. septosporum),1373,123.57
190102,Central Southeast Alaska,Lirula spruce needle blight,209,18.81
190102,Central Southeast Alaska,birch leafroller,430,38.7
190102,Central Southeast Alaska,common porcupine,76581,6892.29
190102,Central Southeast Alaska,decline complex,1100,99.0
190102,Central Southeast Alaska,defoliators,32346,2911.14
190102,Central Southeast Alaska,fire,150,13.5
190102,Central Southeast Alaska,flooding-high water,23825,2144.25
190102,Central Southeast Alaska,hemlock canker,13461,1211.49
190102,Central Southeast Alaska,hemlock sawfly,2608642,234777.78
190102,Central Southeast Alaska,large-spored spruce-Labrador tea rust,10218,919.62
190102,Central Southeast Alaska,mortality,15805,1422.45
190102,Central Southeast Alaska,mud-land slide,24631,2216.79
190102,Central Southeast Alaska,"other canker agent, known (code pending)",746,67.14
190102,Central Southeast Alaska,"other wilt, known (code pending)",16,1.44
190102,Central Southeast Alaska,skeletonizer,304,27.36
190102,Central Southeast Alaska,spruce aphid,512905,46161.45
190102,Central Southeast Alaska,spruce beetle,27416,2467.44
190102,Central Southeast Alaska,spruce budworm,518,46.62
190102,Central Southeast Alaska,unknown,171900,15471.0
190102,Central Southeast Alaska,unknown canker,146,13.14
