subregion,subregion_name,year,total_pixel_count,total_area_ha
190101,Southern Southeast Alaska,1997,23535,2118.15
190101,Southern Southeast Alaska,1998,29304,2637.36
190101,Southern Southeast Alaska,1999,10617,955.53
190101,Southern Southeast Alaska,2000,19065,1715.85
190101,Southern Southeast Alaska,2001,15288,1375.92
190101,Southern Southeast Alaska,2002,16146,1453.14
190101,Southern Southeast Alaska,2003,58671,5280.39
190101,Southern Southeast Alaska,2004,40856,3677.04
190101,Southern Southeast Alaska,2005,83212,7489.08
190101,Southern Southeast Alaska,2006,50840,4575.6
190101,Southern Southeast Alaska,2007,44090,3968.1
190101,Southern Southeast Alaska,2008,6853,616.77
190101,Southern Southeast Alaska,2009,34430,3098.7
190101,Southern Southeast Alaska,2010,74596,6713.64
190101,Southern Southeast Alaska,2011,97315,8758.35
190101,Southern Southeast Alaska,2012,49922,4492.98
190101,Southern Southeast Alaska,2013,63843,5745.87
190101,Southern Southeast Alaska,2014,53658,4829.22
190101,Southern Southeast Alaska,2015,162570,14631.3
190101,Southern Southeast Alaska,2016,81310,7317.9
190101,Southern Southeast Alaska,2017,88579,7972.11
190101,Southern Southeast Alaska,2018,71036,6393.24
190101,Southern Southeast Alaska,2019,328357,29552.13
190101,Southern Southeast Alaska,2020,491256,44213.04
190101,Southern Southeast Alaska,2021,247932,22313.88
190101,Southern Southeast Alaska,2022,848405,76356.45
190101,Southern Southeast Alaska,2023,28324,2549.16
190101,Southern Southeast Alaska,2024,81682,7351.38
190101,Southern Southeast Alaska,2025,20321,1828.89
190102,Central Southeast Alaska,1997,31158,2804.22
190102,Central Southeast Alaska,1998,157371,14163.39
190102,Central Southeast Alaska,1999,17337,1560.33
190102,Central Southeast Alaska,2000,92758,8348.22
190102,Central Southeast Alaska,2001,53887,4849.83
190102,Central Southeast Alaska,2002,15164,1364.76
190102,Central Southeast Alaska,2003,68237,6141.33
190102,Central Southeast Alaska,2004,69787,6280.83
190102,Central Southeast Alaska,2005,122101,10989.09
190102,Central Southeast Alaska,2006,139440,12549.6
190102,Central Southeast Alaska,2007,112334,10110.06
190102,Central Southeast Alaska,2008,52893,4760.37
190102,Central Southeast Alaska,2009,72752,6547.68
190102,Central Southeast Alaska,2010,214532,19307.88
190102,Central Southeast Alaska,2011,107194,9647.46
190102,Central Southeast Alaska,2012,90819,8173.71
190102,Central Southeast Alaska,2013,73385,6604.65
190102,Central Southeast Alaska,2014,87848,7906.32
190102,Central Southeast Alaska,2015,75815,6823.35
190102,Central Southeast Alaska,2016,176228,15860.52
190102,Central Southeast Alaska,2017,151896,13670.64
190102,Central Southeast Alaska,2018,265389,23885.01
190102,Central Southeast Alaska,2019,1374792,123731.28
190102,Central Southeast Alaska,2020,92967,8367.03
190102,Central Southeast Alaska,2021,2850228,256520.52
190102,Central Southeast Alaska,2022,2220633,199856.97
190102,Central Southeast Alaska,2023,244615,22015.35
190102,Central Southeast Alaska,2024,98482,8863.38
190102,Central Southeast Alaska,2025,6355,571.95
190103,Northern Southeast Alaska,1997,94782,8530.38
190103,Northern Southeast Alaska,1998,49514,4456.26
190103,Northern Southeast Alaska,1999,33272,2994.48
190103,Northern Southeast Alaska,2000,109976,9897.84
190103,Northern Southeast Alaska,2001,39567,3561.03
190103,Northern Southeast Alaska,2002,54545,4909.05
190103,Northern Southeast Alaska,2003,9422,847.98
190103,Northern Southeast Alaska,2004,21734,1956.06
190103,Northern Southeast Alaska,2005,17283,1555.47
190103,Northern Southeast Alaska,2006,26695,2402.55
190103,Northern Southeast Alaska,2007,36439,3279.51
190103,Northern Southeast Alaska,2008,27716,2494.44
190103,Northern Southeast Alaska,2009,9300,837.0
190103,Northern Southeast Alaska,2010,61208,5508.72
190103,Northern Southeast Alaska,2011,32687,2941.83
190103,Northern Southeast Alaska,2012,17570,1581.3
190103,Northern Southeast Alaska,2013,98480,8863.2
190103,Northern Southeast Alaska,2014,72585,6532.65
190103,Northern Southeast Alaska,2015,27317,2458.53
190103,Northern Southeast Alaska,2016,34982,3148.38
190103,Northern Southeast Alaska,2017,15985,1438.65
190103,Northern Southeast Alaska,2018,50866,4577.94
190103,Northern Southeast Alaska,2019,154681,13921.29
190103,Northern Southeast Alaska,2020,105632,9506.88
190103,Northern Southeast Alaska,2021,224370,20193.3
190103,Northern Southeast Alaska,2022,422818,38053.62
190103,Northern Southeast Alaska,2023,245004,22050.36
190103,Northern Southeast Alaska,2024,4263,383.67
190103,Northern Southeast Alaska,2025,35115,3160.35
190201,Copper River,1997,471554,42439.86
190201,Copper River,1998,45941,4134.69
190201,Copper River,1999,375767,33819.03
190201,Copper River,2000,37461,3371.49
190201,Copper River,2001,156142,14052.78
190201,Copper River,2002,41734,3756.06
190201,Copper River,2003,76504,6885.36
190201,Copper River,2004,40456,3641.04
190201,Copper River,2005,137571,12381.39
190201,Copper River,2006,227641,20487.69
190201,Copper River,2007,463572,41721.48
190201,Copper River,2008,64485,5803.65
