subregion,subregion_name,year,native_class,pixel_count,area_ha,spatial_prevalence_pct
1,Coast Range,1997,Mortality,80045,7204.05,80.676
1,Coast Range,1997,Crown Discoloration,10495,944.55,10.578
1,Coast Range,1997,Defoliation,9219,829.71,9.292
1,Coast Range,1997,Main stem Broken or Uprooted,3462,311.58,3.489
1,Coast Range,1997,Branch flagging,280,25.2,0.282
1,Coast Range,1997,No Data,80,7.2,0.081
1,Coast Range,1997,Crown Dieback,28,2.52,0.028
1,Coast Range,1998,Defoliation,92604,8334.36,59.981
1,Coast Range,1998,Mortality,59205,5328.45,38.348
1,Coast Range,1998,Crown Dieback,2463,221.67,1.595
1,Coast Range,1998,Branch flagging,1711,153.99,1.108
1,Coast Range,1998,Crown Discoloration,590,53.1,0.382
1,Coast Range,1998,No damage,121,10.89,0.078
1,Coast Range,1998,Main stem Broken or Uprooted,80,7.2,0.052
1,Coast Range,1998,Topkill,42,3.78,0.027
1,Coast Range,1999,Mortality,73177,6585.93,94.678
1,Coast Range,1999,Defoliation,1627,146.43,2.105
1,Coast Range,1999,No damage,1487,133.83,1.924
1,Coast Range,1999,Crown Discoloration,905,81.45,1.171
1,Coast Range,1999,Crown Dieback,514,46.26,0.665
1,Coast Range,1999,Topkill,303,27.27,0.392
1,Coast Range,1999,Main stem Broken or Uprooted,182,16.38,0.235
1,Coast Range,2000,Mortality,166074,14946.66,97.776
1,Coast Range,2000,Main stem Broken or Uprooted,1470,132.3,0.865
1,Coast Range,2000,Crown Discoloration,1406,126.54,0.828
1,Coast Range,2000,Branch flagging,454,40.86,0.267
1,Coast Range,2000,Defoliation,447,40.23,0.263
1,Coast Range,2001,Mortality,200067,18006.03,79.199
1,Coast Range,2001,Defoliation,41927,3773.43,16.597
1,Coast Range,2001,Crown Dieback,12178,1096.02,4.821
1,Coast Range,2001,Branch flagging,606,54.54,0.24
1,Coast Range,2001,Main stem Broken or Uprooted,595,53.55,0.236
1,Coast Range,2001,Crown Discoloration,377,33.93,0.149
1,Coast Range,2002,Defoliation,414842,37335.78,54.252
1,Coast Range,2002,Mortality,346914,31222.26,45.369
1,Coast Range,2002,Crown Dieback,16186,1456.74,2.117
1,Coast Range,2002,Main stem Broken or Uprooted,2968,267.12,0.388
1,Coast Range,2002,Branch flagging,2351,211.59,0.307
1,Coast Range,2002,Other Damage,364,32.76,0.048
1,Coast Range,2002,Crown Discoloration,275,24.75,0.036
1,Coast Range,2003,Defoliation,1344980,121048.2,73.163
