subregion,subregion_name,year,native_class,pixel_count,area_ha,spatial_prevalence_pct
1,Coast Range,1997,bears,46607,4194.63,46.974
1,Coast Range,1997,Port-Orford-cedar root disease,17580,1582.2,17.719
1,Coast Range,1997,winter injury,6305,567.45,6.355
1,Coast Range,1997,tent caterpillars,4662,419.58,4.699
1,Coast Range,1997,spruce aphid,4469,402.21,4.504
1,Coast Range,1997,balsam woolly adelgid,4190,377.1,4.223
1,Coast Range,1997,black stain root disease,3697,332.73,3.726
1,Coast Range,1997,Douglas-fir beetle,2928,263.52,2.951
1,Coast Range,1997,flooding-high water,2303,207.27,2.321
1,Coast Range,1997,wind-tornado/hurricane,2298,206.82,2.316
1,Coast Range,1997,mountain pine beetle,1333,119.97,1.344
1,Coast Range,1997,mud-land slide,1164,104.76,1.173
1,Coast Range,1997,pine engraver,986,88.74,0.994
1,Coast Range,1997,white pine blister rust,280,25.2,0.282
1,Coast Range,1997,fir engraver,175,15.75,0.176
1,Coast Range,1997,root diseases/decay,134,12.06,0.135
1,Coast Range,1997,Swiss needle cast,88,7.92,0.089
1,Coast Range,1997,fire,80,7.2,0.081
1,Coast Range,1997,silver fir beetle,80,7.2,0.081
1,Coast Range,1997,western pine beetle,32,2.88,0.032
1,Coast Range,1997,Pacific madrone decline,28,2.52,0.028
1,Coast Range,1997,Douglas-fir engraver,14,1.26,0.014
1,Coast Range,1998,spruce aphid,90640,8157.6,58.708
1,Coast Range,1998,bears,32269,2904.21,20.901
1,Coast Range,1998,Douglas-fir beetle,7412,667.08,4.801
1,Coast Range,1998,Port-Orford-cedar root disease,7064,635.76,4.575
1,Coast Range,1998,frost,6550,589.5,4.243
1,Coast Range,1998,root diseases/decay,4084,367.56,2.645
1,Coast Range,1998,spruce beetle,3848,346.32,2.492
1,Coast Range,1998,mountain pine beetle,2770,249.3,1.794
1,Coast Range,1998,decline complex,2426,218.34,1.571
1,Coast Range,1998,balsam woolly adelgid,1173,105.57,0.76
1,Coast Range,1998,needlecast,1139,102.51,0.738
1,Coast Range,1998,Swiss needle cast,693,62.37,0.449
1,Coast Range,1998,maple decline,559,50.31,0.362
1,Coast Range,1998,white pine blister rust,538,48.42,0.348
1,Coast Range,1998,western balsam bark beetle,308,27.72,0.199
1,Coast Range,1998,fir engraver,211,18.99,0.137
1,Coast Range,1998,false hemlock looper,132,11.88,0.085
1,Coast Range,1998,mud-land slide,121,10.89,0.078
1,Coast Range,1998,wind-tornado/hurricane,80,7.2,0.052
1,Coast Range,1998,silver fir beetle,59,5.31,0.038
1,Coast Range,1998,Douglas-fir engraver,42,3.78,0.027
1,Coast Range,1998,Pacific madrone decline,37,3.33,0.024
1,Coast Range,1998,snow-ice,31,2.79,0.02
1,Coast Range,1998,flatheaded borer,24,2.16,0.016
1,Coast Range,1999,bears,29003,2610.27,37.525
1,Coast Range,1999,Douglas-fir beetle,24402,2196.18,31.572
1,Coast Range,1999,Port-Orford-cedar root disease,13617,1225.53,17.618
1,Coast Range,1999,frost,1948,175.32,2.52
1,Coast Range,1999,spruce aphid,1627,146.43,2.105
1,Coast Range,1999,spruce beetle,1568,141.12,2.029
1,Coast Range,1999,root diseases/decay,1264,113.76,1.635
1,Coast Range,1999,mud-land slide,905,81.45,1.171
1,Coast Range,1999,snow-ice,905,81.45,1.171
1,Coast Range,1999,fir engraver,781,70.29,1.01
1,Coast Range,1999,wild fire,582,52.38,0.753
1,Coast Range,1999,western balsam bark beetle,492,44.28,0.637
1,Coast Range,1999,Douglas-fir engraver,303,27.27,0.392
1,Coast Range,1999,decline complex,262,23.58,0.339
1,Coast Range,1999,mountain pine beetle,195,17.55,0.252
1,Coast Range,1999,wind-tornado/hurricane,182,16.38,0.235
1,Coast Range,1999,Pacific madrone decline,173,15.57,0.224
1,Coast Range,1999,hemlock decline,79,7.11,0.102
1,Coast Range,2000,bears,126946,11425.14,74.74
1,Coast Range,2000,Port-Orford-cedar root disease,22355,2011.95,13.162
1,Coast Range,2000,Douglas-fir beetle,14694,1322.46,8.651
1,Coast Range,2000,foliage discoloration,1406,126.54,0.828
1,Coast Range,2000,spruce beetle,1024,92.16,0.603
1,Coast Range,2000,root diseases/decay,813,73.17,0.479
1,Coast Range,2000,mud-land slide,802,72.18,0.472
1,Coast Range,2000,wind-tornado/hurricane,668,60.12,0.393
1,Coast Range,2000,balsam woolly adelgid,454,40.86,0.267
1,Coast Range,2000,mountain pine beetle,290,26.1,0.171
1,Coast Range,2000,hemlock sawfly,252,22.68,0.148
1,Coast Range,2000,western tent caterpillar,147,13.23,0.087
1,Coast Range,2000,fir engraver,145,13.05,0.085
1,Coast Range,2000,spruce aphid,48,4.32,0.028
1,Coast Range,2000,western balsam bark beetle,39,3.51,0.023
1,Coast Range,2001,bears,157652,14188.68,62.409
1,Coast Range,2001,Port-Orford-cedar root disease,27548,2479.32,10.905
1,Coast Range,2001,spruce aphid,25328,2279.52,10.026
1,Coast Range,2001,hemlock decline,11983,1078.47,4.744
1,Coast Range,2001,Douglas-fir beetle,11412,1027.08,4.518
1,Coast Range,2001,Swiss needle cast,9794,881.46,3.877
1,Coast Range,2001,western tent caterpillar,6442,579.78,2.55
1,Coast Range,2001,spruce beetle,1420,127.8,0.562
1,Coast Range,2001,root diseases/decay,1350,121.5,0.534
1,Coast Range,2001,mountain pine beetle,949,85.41,0.376
1,Coast Range,2001,frost,801,72.09,0.317
1,Coast Range,2001,balsam woolly adelgid,606,54.54,0.24
1,Coast Range,2001,mud-land slide,463,41.67,0.183
1,Coast Range,2001,fir engraver,397,35.73,0.157
1,Coast Range,2001,foliage discoloration,377,33.93,0.149
1,Coast Range,2001,needlecast,353,31.77,0.14
1,Coast Range,2001,western balsam bark beetle,203,18.27,0.08
1,Coast Range,2001,decline complex,195,17.55,0.077
1,Coast Range,2001,wind-tornado/hurricane,132,11.88,0.052
1,Coast Range,2001,mortality,113,10.17,0.045
1,Coast Range,2001,sawflies,10,0.9,0.004
1,Coast Range,2002,Swiss needle cast,392847,35356.23,51.376
1,Coast Range,2002,bears,285287,25675.83,37.309
1,Coast Range,2002,Douglas-fir beetle,25936,2334.24,3.392
1,Coast Range,2002,Port-Orford-cedar root disease,25663,2309.67,3.356
1,Coast Range,2002,western tent caterpillar,16579,1492.11,2.168
1,Coast Range,2002,hemlock decline,15155,1363.95,1.982
1,Coast Range,2002,fir engraver,7370,663.3,0.964
1,Coast Range,2002,spruce beetle,3139,282.51,0.411
1,Coast Range,2002,wind-tornado/hurricane,2921,262.89,0.382
1,Coast Range,2002,needlecast,2784,250.56,0.364
1,Coast Range,2002,spruce aphid,2398,215.82,0.314
1,Coast Range,2002,balsam woolly adelgid,2351,211.59,0.307
1,Coast Range,2002,frost,1433,128.97,0.187
1,Coast Range,2002,western pine beetle,1202,108.18,0.157
1,Coast Range,2002,decline complex,1031,92.79,0.135
1,Coast Range,2002,root diseases/decay,1010,90.9,0.132
1,Coast Range,2002,mountain pine beetle,549,49.41,0.072
1,Coast Range,2002,wild fire,364,32.76,0.048
1,Coast Range,2002,foliage discoloration,234,21.06,0.031
