subregion,subregion_name,year,attributed_pixels,single_label_pixels,multi_label_pixels,pct_multi_label
1,Coast Range,1997,99218,94827,4391,4.4256
1,Coast Range,1998,154390,151964,2426,1.5713
1,Coast Range,1999,77290,76385,905,1.1709
1,Coast Range,2000,169851,169851,0,0.0
1,Coast Range,2001,252613,249476,3137,1.2418
1,Coast Range,2002,764651,745402,19249,2.5174
1,Coast Range,2003,1838341,1817062,21279,1.1575
1,Coast Range,2004,479630,478593,1037,0.2162
1,Coast Range,2005,771930,764656,7274,0.9423
1,Coast Range,2006,923616,921578,2038,0.2207
1,Coast Range,2007,648781,640414,8367,1.2896
1,Coast Range,2008,980866,974655,6211,0.6332
1,Coast Range,2009,1350923,1342149,8774,0.6495
1,Coast Range,2010,530404,526913,3491,0.6582
1,Coast Range,2011,546914,545230,1684,0.3079
1,Coast Range,2012,549676,545826,3850,0.7004
1,Coast Range,2013,544410,543528,882,0.162
1,Coast Range,2014,713552,699848,13704,1.9205
1,Coast Range,2015,452801,450307,2494,0.5508
1,Coast Range,2016,333261,329551,3710,1.1132
1,Coast Range,2017,289215,283543,5672,1.9612
1,Coast Range,2018,2861304,2852992,8312,0.2905
1,Coast Range,2019,536561,532215,4346,0.81
1,Coast Range,2020,53296,51616,1680,3.1522
1,Coast Range,2021,1351210,1296444,54766,4.0531
1,Coast Range,2022,3973487,3960423,13064,0.3288
1,Coast Range,2023,500945,486542,14403,2.8752
1,Coast Range,2024,4758812,4749821,8991,0.1889
1,Coast Range,2025,267380,251192,16188,6.0543
11,Blue Mountains,1997,138566,137839,727,0.5247
11,Blue Mountains,1998,366564,352347,14217,3.8784
11,Blue Mountains,1999,387390,387042,348,0.0898
11,Blue Mountains,2000,1188936,1121474,67462,5.6741
11,Blue Mountains,2001,565070,538637,26433,4.6778
11,Blue Mountains,2002,960868,926666,34202,3.5595
11,Blue Mountains,2003,1602138,1542733,59405,3.7079
11,Blue Mountains,2004,1755553,1682265,73288,4.1746
11,Blue Mountains,2005,973258,964339,8919,0.9164
11,Blue Mountains,2006,743825,713855,29970,4.0292
11,Blue Mountains,2007,1722994,1601772,121222,7.0355
11,Blue Mountains,2008,1153382,985424,167958,14.5622
11,Blue Mountains,2009,1328731,1209278,119453,8.99
11,Blue Mountains,2010,1548135,1426808,121327,7.837
11,Blue Mountains,2011,2492720,2429514,63206,2.5356
11,Blue Mountains,2012,1207821,1173229,34592,2.864
11,Blue Mountains,2013,583601,561727,21874,3.7481
