subregion,subregion_name,native_class,pixel_count,area_ha
1,Coast Range,Branch Breakage,21957,1976.13
1,Coast Range,Branch flagging,75674,6810.66
1,Coast Range,Crown Dieback,193226,17390.34
1,Coast Range,Crown Discoloration,992101,89289.09
1,Coast Range,Defoliation,2262010,203580.9
1,Coast Range,Defoliation 50-75% of leaves defoliated,8587896,772910.64
1,Coast Range,Defoliation < 50% of leaves defoliated,28176,2535.84
1,Coast Range,Defoliation > 75% of leaves defoliated,1772781,159550.29
1,Coast Range,Main stem Broken or Uprooted,282481,25423.29
1,Coast Range,Mortality,12738996,1146509.64
1,Coast Range,No Data,80,7.2
1,Coast Range,No damage,3490,314.1
1,Coast Range,Other Damage,12864,1157.76
1,Coast Range,Other Damage (known),238,21.42
1,Coast Range,Topkill,43120,3880.8
1,Coast Range,Unknown Damage,2563,230.67
11,Blue Mountains,Branch Breakage,468,42.12
11,Blue Mountains,Branch flagging,4265603,383904.27
11,Blue Mountains,Crown Dieback,12410,1116.9
11,Blue Mountains,Crown Discoloration,16448,1480.32
11,Blue Mountains,Defoliation,6856948,617125.32
11,Blue Mountains,Defoliation 50-75% of leaves defoliated,259901,23391.09
11,Blue Mountains,Defoliation < 50% of leaves defoliated,147713,13294.17
11,Blue Mountains,Defoliation > 75% of leaves defoliated,200492,18044.28
11,Blue Mountains,Main stem Broken or Uprooted,1671,150.39
11,Blue Mountains,Mortality,27834419,2505097.71
11,Blue Mountains,No Data,25,2.25
11,Blue Mountains,No damage,1221,109.89
11,Blue Mountains,Other Damage,677999,61019.91
11,Blue Mountains,Topkill,21462,1931.58
11,Blue Mountains,Unknown Damage,12369,1113.21
15,Northern Rockies,Branch flagging,82963,7466.67
15,Northern Rockies,Crown Dieback,302215,27199.35
15,Northern Rockies,Crown Discoloration,52092,4688.28
15,Northern Rockies,Defoliation,5538718,498484.62
15,Northern Rockies,Defoliation 50-75% of leaves defoliated,211215,19009.35
15,Northern Rockies,Defoliation < 50% of leaves defoliated,52027,4682.43
15,Northern Rockies,Defoliation > 75% of leaves defoliated,190691,17162.19
15,Northern Rockies,Main stem Broken or Uprooted,18303,1647.27
15,Northern Rockies,Mortality,12518572,1126671.48
15,Northern Rockies,No Data,693,62.37
15,Northern Rockies,No damage,2292,206.28
15,Northern Rockies,Other Damage,307349,27661.41
15,Northern Rockies,Topkill,234383,21094.47
15,Northern Rockies,Unknown Damage,90894,8180.46
4,Cascades,Branch Breakage,9908,891.72
4,Cascades,Branch flagging,3462692,311642.28
4,Cascades,Crown Dieback,78436,7059.24
4,Cascades,Crown Discoloration,121576,10941.84
4,Cascades,Defoliation,3213346,289201.14
4,Cascades,Defoliation 50-75% of leaves defoliated,487259,43853.31
4,Cascades,Defoliation < 50% of leaves defoliated,104475,9402.75
