subregion,subregion_name,year,total_pixel_count,total_area_ha
1,Coast Range,1997,103609,9324.81
1,Coast Range,1998,156816,14113.44
1,Coast Range,1999,78195,7037.55
1,Coast Range,2000,169851,15286.59
1,Coast Range,2001,255750,23017.5
1,Coast Range,2002,783900,70551.0
1,Coast Range,2003,1859620,167365.8
1,Coast Range,2004,480667,43260.03
1,Coast Range,2005,779204,70128.36
1,Coast Range,2006,925654,83308.86
1,Coast Range,2007,657148,59143.32
1,Coast Range,2008,987077,88836.93
1,Coast Range,2009,1359697,122372.73
1,Coast Range,2010,533895,48050.55
1,Coast Range,2011,548598,49373.82
1,Coast Range,2012,553526,49817.34
1,Coast Range,2013,545292,49076.28
1,Coast Range,2014,727256,65453.04
1,Coast Range,2015,455295,40976.55
1,Coast Range,2016,336971,30327.39
1,Coast Range,2017,294887,26539.83
1,Coast Range,2018,2869616,258265.44
1,Coast Range,2019,540907,48681.63
1,Coast Range,2020,54976,4947.84
1,Coast Range,2021,1405976,126537.84
1,Coast Range,2022,3986551,358789.59
1,Coast Range,2023,515348,46381.32
1,Coast Range,2024,4767803,429102.27
1,Coast Range,2025,283568,25521.12
11,Blue Mountains,1997,139293,12536.37
11,Blue Mountains,1998,380781,34270.29
11,Blue Mountains,1999,387738,34896.42
11,Blue Mountains,2000,1256398,113075.82
11,Blue Mountains,2001,591503,53235.27
11,Blue Mountains,2002,995070,89556.3
11,Blue Mountains,2003,1661543,149538.87
11,Blue Mountains,2004,1828841,164595.69
11,Blue Mountains,2005,982177,88395.93
11,Blue Mountains,2006,773795,69641.55
11,Blue Mountains,2007,1859857,167387.13
11,Blue Mountains,2008,1330691,119762.19
11,Blue Mountains,2009,1448184,130336.56
11,Blue Mountains,2010,1669462,150251.58
11,Blue Mountains,2011,2556173,230055.57
11,Blue Mountains,2012,1242413,111817.17
11,Blue Mountains,2013,605475,54492.75
11,Blue Mountains,2014,1031142,92802.78
11,Blue Mountains,2015,1293010,116370.9
11,Blue Mountains,2016,1463095,131678.55
11,Blue Mountains,2017,1681630,151346.7
11,Blue Mountains,2018,1881688,169351.92
11,Blue Mountains,2019,2202557,198230.13
11,Blue Mountains,2020,1041220,93709.8
11,Blue Mountains,2021,841794,75761.46
11,Blue Mountains,2022,2979049,268114.41
11,Blue Mountains,2023,4210511,378945.99
11,Blue Mountains,2024,1206804,108612.36
11,Blue Mountains,2025,767255,69052.95
15,Northern Rockies,1997,1710815,153973.35
15,Northern Rockies,1998,120864,10877.76
15,Northern Rockies,1999,175778,15820.02
15,Northern Rockies,2000,234417,21097.53
15,Northern Rockies,2001,384009,34560.81
15,Northern Rockies,2002,287606,25884.54
15,Northern Rockies,2003,1333323,119999.07
15,Northern Rockies,2004,1300761,117068.49
15,Northern Rockies,2005,1377966,124016.94
15,Northern Rockies,2006,413246,37192.14
15,Northern Rockies,2007,600020,54001.8
15,Northern Rockies,2008,486527,43787.43
15,Northern Rockies,2009,551243,49611.87
15,Northern Rockies,2010,648388,58354.92
15,Northern Rockies,2011,1098186,98836.74
15,Northern Rockies,2012,1297152,116743.68
15,Northern Rockies,2013,603209,54288.81
15,Northern Rockies,2014,617426,55568.34
15,Northern Rockies,2015,352957,31766.13
15,Northern Rockies,2016,636267,57264.03
15,Northern Rockies,2017,1047227,94250.43
15,Northern Rockies,2018,579240,52131.6
15,Northern Rockies,2019,705307,63477.63
15,Northern Rockies,2020,1196438,107679.42
15,Northern Rockies,2021,452939,40764.51
15,Northern Rockies,2022,585095,52658.55
15,Northern Rockies,2023,421826,37964.34
15,Northern Rockies,2024,298436,26859.24
15,Northern Rockies,2025,85739,7716.51
4,Cascades,1997,335922,30232.98
4,Cascades,1998,379291,34136.19
4,Cascades,1999,396769,35709.21
