subregion,subregion_name,year,native_class,pixel_count,area_ha
1,Coast Range,1997,Douglas-fir beetle,2928,263.52
1,Coast Range,1997,Douglas-fir engraver,14,1.26
1,Coast Range,1997,Pacific madrone decline,28,2.52
1,Coast Range,1997,Port-Orford-cedar root disease,17580,1582.2
1,Coast Range,1997,Swiss needle cast,88,7.92
1,Coast Range,1997,balsam woolly adelgid,4190,377.1
1,Coast Range,1997,bears,46607,4194.63
1,Coast Range,1997,black stain root disease,3697,332.73
1,Coast Range,1997,fir engraver,175,15.75
1,Coast Range,1997,fire,80,7.2
1,Coast Range,1997,flooding-high water,2303,207.27
1,Coast Range,1997,mountain pine beetle,1333,119.97
1,Coast Range,1997,mud-land slide,1164,104.76
1,Coast Range,1997,pine engraver,986,88.74
1,Coast Range,1997,root diseases/decay,134,12.06
1,Coast Range,1997,silver fir beetle,80,7.2
1,Coast Range,1997,spruce aphid,4469,402.21
1,Coast Range,1997,tent caterpillars,4662,419.58
1,Coast Range,1997,western pine beetle,32,2.88
1,Coast Range,1997,white pine blister rust,280,25.2
1,Coast Range,1997,wind-tornado/hurricane,2298,206.82
1,Coast Range,1997,winter injury,6305,567.45
1,Coast Range,1998,Douglas-fir beetle,7412,667.08
1,Coast Range,1998,Douglas-fir engraver,42,3.78
1,Coast Range,1998,Pacific madrone decline,37,3.33
1,Coast Range,1998,Port-Orford-cedar root disease,7064,635.76
1,Coast Range,1998,Swiss needle cast,693,62.37
1,Coast Range,1998,balsam woolly adelgid,1173,105.57
1,Coast Range,1998,bears,32269,2904.21
1,Coast Range,1998,decline complex,2426,218.34
1,Coast Range,1998,false hemlock looper,132,11.88
1,Coast Range,1998,fir engraver,211,18.99
1,Coast Range,1998,flatheaded borer,24,2.16
1,Coast Range,1998,frost,6550,589.5
1,Coast Range,1998,maple decline,559,50.31
1,Coast Range,1998,mountain pine beetle,2770,249.3
1,Coast Range,1998,mud-land slide,121,10.89
1,Coast Range,1998,needlecast,1139,102.51
1,Coast Range,1998,root diseases/decay,4084,367.56
1,Coast Range,1998,silver fir beetle,59,5.31
1,Coast Range,1998,snow-ice,31,2.79
1,Coast Range,1998,spruce aphid,90640,8157.6
1,Coast Range,1998,spruce beetle,3848,346.32
1,Coast Range,1998,western balsam bark beetle,308,27.72
1,Coast Range,1998,white pine blister rust,538,48.42
1,Coast Range,1998,wind-tornado/hurricane,80,7.2
1,Coast Range,1999,Douglas-fir beetle,24402,2196.18
1,Coast Range,1999,Douglas-fir engraver,303,27.27
1,Coast Range,1999,Pacific madrone decline,173,15.57
1,Coast Range,1999,Port-Orford-cedar root disease,13617,1225.53
1,Coast Range,1999,bears,29003,2610.27
1,Coast Range,1999,decline complex,262,23.58
1,Coast Range,1999,fir engraver,781,70.29
1,Coast Range,1999,frost,1948,175.32
1,Coast Range,1999,hemlock decline,79,7.11
1,Coast Range,1999,mountain pine beetle,195,17.55
1,Coast Range,1999,mud-land slide,905,81.45
1,Coast Range,1999,root diseases/decay,1264,113.76
1,Coast Range,1999,snow-ice,905,81.45
1,Coast Range,1999,spruce aphid,1627,146.43
1,Coast Range,1999,spruce beetle,1568,141.12
1,Coast Range,1999,western balsam bark beetle,492,44.28
1,Coast Range,1999,wild fire,582,52.38
1,Coast Range,1999,wind-tornado/hurricane,182,16.38
1,Coast Range,2000,Douglas-fir beetle,14694,1322.46
1,Coast Range,2000,Port-Orford-cedar root disease,22355,2011.95
1,Coast Range,2000,balsam woolly adelgid,454,40.86
1,Coast Range,2000,bears,126946,11425.14
1,Coast Range,2000,fir engraver,145,13.05
1,Coast Range,2000,foliage discoloration,1406,126.54
1,Coast Range,2000,hemlock sawfly,252,22.68
1,Coast Range,2000,mountain pine beetle,290,26.1
1,Coast Range,2000,mud-land slide,802,72.18
1,Coast Range,2000,root diseases/decay,813,73.17
1,Coast Range,2000,spruce aphid,48,4.32
1,Coast Range,2000,spruce beetle,1024,92.16
1,Coast Range,2000,western balsam bark beetle,39,3.51
1,Coast Range,2000,western tent caterpillar,147,13.23
1,Coast Range,2000,wind-tornado/hurricane,668,60.12
1,Coast Range,2001,Douglas-fir beetle,11412,1027.08
1,Coast Range,2001,Port-Orford-cedar root disease,27548,2479.32
1,Coast Range,2001,Swiss needle cast,9794,881.46
1,Coast Range,2001,balsam woolly adelgid,606,54.54
1,Coast Range,2001,bears,157652,14188.68
1,Coast Range,2001,decline complex,195,17.55
1,Coast Range,2001,fir engraver,397,35.73
1,Coast Range,2001,foliage discoloration,377,33.93
1,Coast Range,2001,frost,801,72.09
1,Coast Range,2001,hemlock decline,11983,1078.47
1,Coast Range,2001,mortality,113,10.17
1,Coast Range,2001,mountain pine beetle,949,85.41
1,Coast Range,2001,mud-land slide,463,41.67
1,Coast Range,2001,needlecast,353,31.77
1,Coast Range,2001,root diseases/decay,1350,121.5
1,Coast Range,2001,sawflies,10,0.9
1,Coast Range,2001,spruce aphid,25328,2279.52
1,Coast Range,2001,spruce beetle,1420,127.8
1,Coast Range,2001,western balsam bark beetle,203,18.27
1,Coast Range,2001,western tent caterpillar,6442,579.78
1,Coast Range,2001,wind-tornado/hurricane,132,11.88
1,Coast Range,2002,Douglas-fir beetle,25936,2334.24
1,Coast Range,2002,Port-Orford-cedar root disease,25663,2309.67
1,Coast Range,2002,Swiss needle cast,392847,35356.23
