us_l3code,SURVEY_YEA,DCA_COMMON,area_m2
4,2001,Douglas-fir beetle,906.8533656076465
4,2001,mountain pine beetle,968.1347352858722
4,2001,bears,285.9613816850041
78,2001,pine engraver,34.53241534903516
78,2001,mountain pine beetle,312.4883160786731
4,2003,bears,204.22187495736887
77,2004,mountain pine beetle,153.36362409732598
4,2004,bears,786.5740698441714
4,2004,fir engraver,85.08753791403029
4,2003,western spruce budworm,278.19596286470426
4,2004,balsam woolly adelgid,70.29210565191822
9,2003,western spruce budworm,53.80985600666814
9,2005,fir engraver,280.6495933841311
4,2004,mountain pine beetle,116.78223058857184
1,2001,Port-Orford-cedar root disease,1086.0324906356407
,2001,bears,260.94084015340644
4,2001,bears,255.71954029753982
1,2001,bears,404.9114337529132
9,2003,mountain pine beetle,251.51366848679842
77,2004,mountain pine beetle,65.4864136322565
11,2003,fir engraver,59.94478124728211
11,2004,western pine beetle,201.4186457391895
78,2003,western pine beetle,969.6382239069699
4,2004,Douglas-fir beetle,12.018943475293824
77,2004,western spruce budworm,1231.901831863166
78,2004,fir engraver,4.802079064201931
4,2004,bears,6.458687014980134
15,2003,fir engraver,462.9889873232072
1,2005,bears,27.840377874969565
9,2004,fir engraver,19.937925828452194
11,2001,mountain pine beetle,126.67144292170315
15,2003,western pine beetle,1157.0118615621595
15,2003,fir engraver,541.8038370751294
15,2004,Douglas-fir beetle,988.0571412583872
15,2004,fir engraver,36.05270008651936
4,2002,western pine beetle,1129.1173472583941
9,2004,fir engraver,37.08543740212906
4,2001,bears,5.102927825241943
77,2001,mountain pine beetle,368.0110353939406
77,2004,mountain pine beetle,1274.7805915444283
77,2001,mountain pine beetle,224.81009823087908
4,2004,bears,304.0699494996717
4,2001,western spruce budworm,1028.1849787202163
9,2003,mountain pine beetle,180.0278081272786
11,2003,mountain pine beetle,98.96493173890167
4,2005,fir engraver,804.9687812224038
77,2003,mountain pine beetle,758.0448052560056
1,2001,decline complex,84.23426493650699
,2001,root diseases/decay,1091.1934780103234
1,2001,Port-Orford-cedar root disease,72.56492738619741
1,2001,Port-Orford-cedar root disease,4.275878406369211
77,2004,mountain pine beetle,31.615075129852116
1,2001,Port-Orford-cedar root disease,176.8090795512813
1,2005,Port-Orford-cedar root disease,477.49232616579707
,2003,bears,389.95652577407355
4,2003,bears,247.29663174947632
15,2002,Douglas-fir beetle,318.65576042286534
,2002,foliage discoloration,806.3011179708994
4,2004,western pine beetle,85.13875643152775
1,2001,bears,119.31629743214606
15,2004,fir engraver,404.6318421845318
4,2004,mountain pine beetle,16.32728556932753
15,2004,fir engraver,311.2263996363067
77,2001,mountain pine beetle,656.4629170311928
11,2004,fir engraver,438.90579382231755
77,2008,western balsam bark beetle,1372.6875
77,2004,mountain pine beetle,112.25749944063153
1,2001,Port-Orford-cedar root disease,699.7778986177423
,2003,Douglas-fir beetle,1240.115124704384
9,2001,western spruce budworm,23.029009344459478
,2001,bears,50.14511912062615
1,2001,root diseases/decay,113.31672362138315
15,2002,Douglas-fir beetle,77.1818456567803
11,2003,fir engraver,154.25544949211624
1,2001,Douglas-fir beetle,269.5062358295254
1,2001,bears,65.03380958176731
1,2001,bears,486.8097323730997
4,2003,Douglas-fir beetle,21.84036871596496
1,2001,bears,658.7289398194005
77,2001,mountain pine beetle,49.088356834845875
9,2001,western spruce budworm,336.6526844574384
4,2001,Douglas-fir beetle,83.86999744045721
9,2001,western spruce budworm,92.43255276279692
77,2004,mountain pine beetle,736.3733573675916
