subregion,native_class,pixel_count,area_ha,spatial_prevalence_pct
APIS,harvest,579023,52112.07,49.333
APIS,insect_disease_defo,535933,48233.97,45.662
APIS,development,47276,4254.84,4.028
APIS,beaver,5723,515.07,0.488
APIS,agriculture,5605,504.45,0.478
APIS,fire,5421,487.89,0.462
APIS,blowdown,2872,258.48,0.245
APIS,unknown,1858,167.22,0.158
APIS,insect_disease_mort,120,10.8,0.01
APIS,flooding,54,4.86,0.005
INDU,development,11646,1048.14,77.07
INDU,harvest,1490,134.1,9.86
INDU,unknown,1130,101.7,7.478
INDU,flooding,543,48.87,3.593
INDU,agriculture,302,27.18,1.999
ISRO,harvest,638394,57455.46,49.475
ISRO,insect_disease_defo,608360,54752.4,47.147
ISRO,development,40642,3657.78,3.15
ISRO,beaver,21186,1906.74,1.642
ISRO,agriculture,3400,306.0,0.263
ISRO,insect_disease_mort,1437,129.33,0.111
ISRO,blowdown,646,58.14,0.05
ISRO,unknown,472,42.48,0.037
ISRO,fire,217,19.53,0.017
MISS,development,199393,17945.37,98.739
MISS,agriculture,906,81.54,0.449
MISS,unknown,701,63.09,0.347
MISS,flooding,335,30.15,0.166
MISS,insect_disease_mort,328,29.52,0.162
MISS,harvest,217,19.53,0.107
MISS,blowdown,31,2.79,0.015
MISS,fire,28,2.52,0.014
SACN,harvest,414527,37307.43,75.663
SACN,development,132221,11899.89,24.134
SACN,agriculture,7720,694.8,1.409
SACN,blowdown,7657,689.13,1.398
SACN,beaver,4450,400.5,0.812
SACN,unknown,3437,309.33,0.627
SACN,flooding,422,37.98,0.077
SACN,insect_disease_mort,246,22.14,0.045
SLBE,harvest,119471,10752.39,60.965
SLBE,development,55573,5001.57,28.359
SLBE,agriculture,15100,1359.0,7.705
SLBE,blowdown,5553,499.77,2.834
SLBE,insect_disease_mort,2118,190.62,1.081
SLBE,unknown,843,75.87,0.43
SLBE,flooding,41,3.69,0.021
VOYA,harvest,573054,51574.86,87.757
VOYA,insect_disease_defo,30765,2768.85,4.711
VOYA,blowdown,22076,1986.84,3.381
VOYA,beaver,18144,1632.96,2.779
VOYA,fire,6529,587.61,1.0
VOYA,development,6517,586.53,0.998
VOYA,insect_disease_mort,1741,156.69,0.267
VOYA,agriculture,1325,119.25,0.203
VOYA,flooding,318,28.62,0.049
VOYA,unknown,307,27.63,0.047
