subregion,year,native_class,pixel_count,area_ha,spatial_prevalence_pct
APIS,1990,harvest,33109,2979.81,97.652
APIS,1990,development,679,61.11,2.003
APIS,1990,beaver,408,36.72,1.203
APIS,1990,agriculture,184,16.56,0.543
APIS,1990,unknown,13,1.17,0.038
APIS,1991,harvest,29820,2683.8,91.498
APIS,1991,insect_disease_defo,1585,142.65,4.863
APIS,1991,development,975,87.75,2.992
APIS,1991,beaver,135,12.15,0.414
APIS,1991,fire,35,3.15,0.107
APIS,1991,insect_disease_mort,26,2.34,0.08
APIS,1991,unknown,15,1.35,0.046
APIS,1992,harvest,24996,2249.64,89.998
APIS,1992,development,1660,149.4,5.977
APIS,1992,fire,1045,94.05,3.763
APIS,1992,beaver,90,8.1,0.324
APIS,1992,agriculture,66,5.94,0.238
APIS,1993,harvest,26958,2426.22,88.959
APIS,1993,development,2993,269.37,9.877
APIS,1993,agriculture,332,29.88,1.096
APIS,1993,beaver,269,24.21,0.888
APIS,1994,harvest,35285,3175.65,82.807
APIS,1994,fire,4300,387.0,10.091
APIS,1994,development,1766,158.94,4.144
APIS,1994,beaver,918,82.62,2.154
APIS,1994,agriculture,342,30.78,0.803
APIS,1995,harvest,20214,1819.26,89.478
APIS,1995,development,2361,212.49,10.451
APIS,1995,agriculture,145,13.05,0.642
APIS,1995,beaver,63,5.67,0.279
APIS,1995,unknown,22,1.98,0.097
APIS,1996,harvest,17582,1582.38,93.631
APIS,1996,development,1042,93.78,5.549
APIS,1996,agriculture,380,34.2,2.024
APIS,1996,beaver,12,1.08,0.064
APIS,1997,harvest,15817,1423.53,89.463
APIS,1997,development,1679,151.11,9.497
APIS,1997,beaver,158,14.22,0.894
APIS,1997,agriculture,58,5.22,0.328
APIS,1998,harvest,21899,1970.91,87.209
APIS,1998,development,2637,237.33,10.501
APIS,1998,agriculture,378,34.02,1.505
APIS,1998,beaver,250,22.5,0.996
APIS,1998,unknown,10,0.9,0.04
APIS,1999,harvest,21742,1956.78,76.183
APIS,1999,insect_disease_defo,4655,418.95,16.311
APIS,1999,development,2080,187.2,7.288
APIS,1999,beaver,83,7.47,0.291
APIS,2000,harvest,13582,1222.38,87.316
APIS,2000,development,2027,182.43,13.031
APIS,2000,beaver,132,11.88,0.849
APIS,2000,agriculture,91,8.19,0.585
APIS,2001,insect_disease_defo,524215,47179.35,97.462
APIS,2001,harvest,15139,1362.51,2.815
APIS,2001,development,1297,116.73,0.241
APIS,2001,beaver,411,36.99,0.076
APIS,2001,agriculture,143,12.87,0.027
APIS,2002,harvest,4158,374.22,73.359
APIS,2002,insect_disease_defo,1162,104.58,20.501
APIS,2002,development,314,28.26,5.54
APIS,2002,beaver,34,3.06,0.6
APIS,2002,agriculture,12,1.08,0.212
APIS,2003,harvest,15124,1361.16,86.472
APIS,2003,development,2482,223.38,14.191
APIS,2003,agriculture,145,13.05,0.829
APIS,2003,beaver,88,7.92,0.503
APIS,2004,harvest,23778,2140.02,87.179
APIS,2004,development,3552,319.68,13.023
APIS,2004,agriculture,297,26.73,1.089
APIS,2004,beaver,172,15.48,0.631
APIS,2005,harvest,14103,1269.27,83.936
APIS,2005,development,1944,174.96,11.57
APIS,2005,agriculture,838,75.42,4.988
APIS,2005,beaver,161,14.49,0.958
APIS,2006,harvest,31689,2852.01,89.939
APIS,2006,development,3940,354.6,11.182
APIS,2006,agriculture,328,29.52,0.931
APIS,2006,beaver,256,23.04,0.727
APIS,2006,unknown,217,19.53,0.616
APIS,2006,flooding,9,0.81,0.026
APIS,2007,harvest,23543,2118.87,85.996
APIS,2007,development,5476,492.84,20.002
APIS,2007,beaver,140,12.6,0.511
APIS,2007,agriculture,114,10.26,0.416
APIS,2008,harvest,18862,1697.58,93.916
APIS,2008,development,1131,101.79,5.631
APIS,2008,beaver,59,5.31,0.294
APIS,2008,agriculture,38,3.42,0.189
APIS,2008,unknown,9,0.81,0.045
APIS,2009,harvest,16690,1502.1,91.088
APIS,2009,development,1741,156.69,9.502
APIS,2009,beaver,31,2.79,0.169
APIS,2009,agriculture,11,0.99,0.06
APIS,2010,harvest,15967,1437.03,87.009
APIS,2010,insect_disease_defo,1590,143.1,8.664
APIS,2010,development,569,51.21,3.101
APIS,2010,agriculture,158,14.22,0.861
APIS,2010,beaver,67,6.03,0.365
APIS,2011,harvest,12906,1161.54,91.267
APIS,2011,blowdown,692,62.28,4.894
APIS,2011,development,523,47.07,3.698
APIS,2011,agriculture,28,2.52,0.198
APIS,2011,beaver,15,1.35,0.106
APIS,2011,unknown,9,0.81,0.064
APIS,2012,harvest,16514,1486.26,80.627
APIS,2012,insect_disease_defo,2726,245.34,13.309
APIS,2012,development,1044,93.96,5.097
APIS,2012,beaver,294,26.46,1.435
APIS,2012,agriculture,21,1.89,0.103
APIS,2013,harvest,13219,1189.71,90.678
APIS,2013,development,701,63.09,4.809
APIS,2013,agriculture,330,29.7,2.264
APIS,2013,beaver,313,28.17,2.147
APIS,2013,unknown,15,1.35,0.103
APIS,2014,harvest,15330,1379.7,93.203
APIS,2014,development,835,75.15,5.077
APIS,2014,agriculture,354,31.86,2.152
APIS,2014,beaver,177,15.93,1.076
APIS,2014,blowdown,70,6.3,0.426
APIS,2015,harvest,22110,1989.9,96.5
APIS,2015,development,879,79.11,3.836
APIS,2015,beaver,110,9.9,0.48
APIS,2015,agriculture,107,9.63,0.467
APIS,2015,unknown,20,1.8,0.087
APIS,2016,harvest,21133,1901.97,84.957
APIS,2016,blowdown,1636,147.24,6.577
APIS,2016,unknown,956,86.04,3.843
APIS,2016,development,569,51.21,2.287
APIS,2016,beaver,245,22.05,0.985
APIS,2016,agriculture,242,21.78,0.973
APIS,2016,insect_disease_mort,94,8.46,0.378
APIS,2017,harvest,18355,1651.95,93.581
APIS,2017,blowdown,474,42.66,2.417
APIS,2017,agriculture,352,31.68,1.795
APIS,2017,development,301,27.09,1.535
APIS,2017,beaver,94,8.46,0.479
APIS,2017,unknown,38,3.42,0.194
APIS,2018,harvest,19399,1745.91,93.503
APIS,2018,beaver,538,48.42,2.593
APIS,2018,unknown,534,48.06,2.574
APIS,2018,agriculture,111,9.99,0.535
APIS,2018,development,79,7.11,0.381
APIS,2018,flooding,45,4.05,0.217
APIS,2018,fire,41,3.69,0.198
INDU,2007,development,3428,308.52,77.768
INDU,2007,harvest,479,43.11,10.867
INDU,2007,flooding,289,26.01,6.556
INDU,2007,unknown,178,16.02,4.038
INDU,2007,agriculture,34,3.06,0.771
INDU,2008,development,2586,232.74,82.252
INDU,2008,flooding,188,16.92,5.98
INDU,2008,harvest,176,15.84,5.598
INDU,2008,unknown,112,10.08,3.562
INDU,2008,agriculture,82,7.38,2.608
INDU,2009,development,1562,140.58,89.925
INDU,2009,harvest,91,8.19,5.239
INDU,2009,flooding,39,3.51,2.245
INDU,2009,agriculture,31,2.79,1.785
INDU,2009,unknown,14,1.26,0.806
INDU,2010,development,1146,103.14,63.036
INDU,2010,unknown,342,30.78,18.812
INDU,2010,harvest,283,25.47,15.567
INDU,2010,flooding,27,2.43,1.485
INDU,2010,agriculture,20,1.8,1.1
INDU,2011,development,1522,136.98,65.378
INDU,2011,unknown,484,43.56,20.79
INDU,2011,harvest,322,28.98,13.832
INDU,2012,development,1402,126.18,83.652
INDU,2012,harvest,139,12.51,8.294
INDU,2012,agriculture,135,12.15,8.055
ISRO,1995,harvest,14781,1330.29,89.636
ISRO,1995,development,1205,108.45,7.307
ISRO,1995,beaver,297,26.73,1.801
ISRO,1995,agriculture,234,21.06,1.419
ISRO,1995,unknown,24,2.16,0.146
ISRO,1996,harvest,27752,2497.68,93.028
ISRO,1996,development,1291,116.19,4.328
ISRO,1996,beaver,748,67.32,2.507
ISRO,1996,agriculture,41,3.69,0.137
ISRO,1997,harvest,30955,2785.95,80.327
ISRO,1997,insect_disease_defo,4683,421.47,12.152
ISRO,1997,development,2209,198.81,5.732
ISRO,1997,beaver,535,48.15,1.388
ISRO,1997,agriculture,106,9.54,0.275
ISRO,1997,unknown,48,4.32,0.125
ISRO,1998,insect_disease_defo,113465,10211.85,72.689
ISRO,1998,harvest,41551,3739.59,26.619
ISRO,1998,development,1535,138.15,0.983
ISRO,1998,insect_disease_mort,1343,120.87,0.86
ISRO,1998,beaver,294,26.46,0.188
ISRO,1998,unknown,46,4.14,0.029
ISRO,1998,blowdown,10,0.9,0.006
ISRO,1999,harvest,32314,2908.26,67.363
ISRO,1999,insect_disease_defo,14780,1330.2,30.811
ISRO,1999,development,718,64.62,1.497
ISRO,1999,beaver,137,12.33,0.286
ISRO,1999,agriculture,21,1.89,0.044
ISRO,2000,insect_disease_defo,29431,2648.79,49.943
ISRO,2000,harvest,28067,2526.03,47.629
ISRO,2000,development,947,85.23,1.607
ISRO,2000,beaver,412,37.08,0.699
ISRO,2000,unknown,27,2.43,0.046
ISRO,2000,blowdown,24,2.16,0.041
ISRO,2000,agriculture,21,1.89,0.036
ISRO,2001,insect_disease_defo,435248,39172.32,94.81
ISRO,2001,harvest,40286,3625.74,8.775
ISRO,2001,beaver,2942,264.78,0.641
ISRO,2001,development,1220,109.8,0.266
ISRO,2001,unknown,88,7.92,0.019
ISRO,2001,insect_disease_mort,65,5.85,0.014
ISRO,2002,harvest,34929,3143.61,73.799
ISRO,2002,insect_disease_defo,10753,967.77,22.719
ISRO,2002,development,1041,93.69,2.199
ISRO,2002,agriculture,301,27.09,0.636
ISRO,2002,beaver,281,25.29,0.594
ISRO,2002,blowdown,16,1.44,0.034
ISRO,2002,unknown,9,0.81,0.019
ISRO,2003,harvest,36593,3293.37,92.843
ISRO,2003,development,2201,198.09,5.584
ISRO,2003,beaver,576,51.84,1.461
ISRO,2003,unknown,44,3.96,0.112
ISRO,2004,harvest,41313,3718.17,96.003
ISRO,2004,development,1000,90.0,2.324
ISRO,2004,beaver,823,74.07,1.912
ISRO,2004,agriculture,18,1.62,0.042
ISRO,2004,unknown,14,1.26,0.033
ISRO,2005,harvest,49362,4442.58,93.314
ISRO,2005,development,2398,215.82,4.533
ISRO,2005,beaver,951,85.59,1.798
ISRO,2005,agriculture,164,14.76,0.31
ISRO,2005,unknown,24,2.16,0.045
ISRO,2006,harvest,42534,3828.06,94.166
ISRO,2006,development,1415,127.35,3.133
ISRO,2006,beaver,1177,105.93,2.606
ISRO,2006,agriculture,119,10.71,0.263
ISRO,2006,unknown,9,0.81,0.02
ISRO,2007,harvest,23114,2080.26,94.066
ISRO,2007,development,959,86.31,3.903
ISRO,2007,beaver,537,48.33,2.185
ISRO,2008,harvest,22159,1994.31,92.476
ISRO,2008,beaver,1182,106.38,4.933
ISRO,2008,development,579,52.11,2.416
ISRO,2008,unknown,29,2.61,0.121
ISRO,2008,blowdown,13,1.17,0.054
ISRO,2009,harvest,17885,1609.65,82.306
ISRO,2009,development,2341,210.69,10.773
ISRO,2009,beaver,977,87.93,4.496
ISRO,2009,agriculture,527,47.43,2.425
ISRO,2010,harvest,19616,1765.44,90.126
ISRO,2010,development,1614,145.26,7.416
ISRO,2010,beaver,937,84.33,4.305
ISRO,2010,agriculture,213,19.17,0.979
ISRO,2010,blowdown,11,0.99,0.051
ISRO,2011,harvest,28375,2553.75,84.57
ISRO,2011,development,4343,390.87,12.944
