subregion,year,attributed_pixels,single_label_pixels,multi_label_pixels,pct_multi_label
APIS,1990,33905,33905,0,0.0
APIS,1991,32591,32591,0,0.0
APIS,1992,27774,27774,0,0.0
APIS,1993,30304,30304,0,0.0
APIS,1994,42611,42611,0,0.0
APIS,1995,22591,22591,0,0.0
APIS,1996,18778,18778,0,0.0
APIS,1997,17680,17680,0,0.0
APIS,1998,25111,25111,0,0.0
APIS,1999,28539,28539,0,0.0
APIS,2000,15555,15555,0,0.0
APIS,2001,537868,537868,0,0.0
APIS,2002,5668,5668,0,0.0
APIS,2003,17490,17490,0,0.0
APIS,2004,27275,27275,0,0.0
APIS,2005,16802,16802,0,0.0
APIS,2006,35234,35234,0,0.0
APIS,2007,27377,27377,0,0.0
APIS,2008,20084,20084,0,0.0
APIS,2009,18323,18323,0,0.0
APIS,2010,18351,18351,0,0.0
APIS,2011,14141,14141,0,0.0
APIS,2012,20482,20482,0,0.0
APIS,2013,14578,14578,0,0.0
APIS,2014,16448,16448,0,0.0
APIS,2015,22912,22912,0,0.0
APIS,2016,24875,24875,0,0.0
APIS,2017,19614,19614,0,0.0
APIS,2018,20747,20747,0,0.0
INDU,2007,4408,4408,0,0.0
INDU,2008,3144,3144,0,0.0
INDU,2009,1737,1737,0,0.0
INDU,2010,1818,1818,0,0.0
INDU,2011,2328,2328,0,0.0
INDU,2012,1676,1676,0,0.0
ISRO,1995,16490,16490,0,0.0
ISRO,1996,29830,29830,0,0.0
ISRO,1997,38530,38530,0,0.0
ISRO,1998,156065,156065,0,0.0
ISRO,1999,47967,47967,0,0.0
ISRO,2000,58920,58920,0,0.0
ISRO,2001,459027,459027,0,0.0
ISRO,2002,47330,47330,0,0.0
ISRO,2003,39414,39414,0,0.0
ISRO,2004,43030,43030,0,0.0
ISRO,2005,52891,52891,0,0.0
ISRO,2006,45166,45166,0,0.0
ISRO,2007,24570,24570,0,0.0
ISRO,2008,23962,23962,0,0.0
ISRO,2009,21729,21729,0,0.0
ISRO,2010,21765,21765,0,0.0
ISRO,2011,33552,33552,0,0.0
ISRO,2012,29064,29064,0,0.0
ISRO,2013,19342,19342,0,0.0
ISRO,2014,21423,21423,0,0.0
ISRO,2015,20872,20872,0,0.0
ISRO,2016,20297,20297,0,0.0
ISRO,2017,18933,18933,0,0.0
MISS,1990,5766,5766,0,0.0
MISS,1991,8779,8779,0,0.0
MISS,1992,6887,6887,0,0.0
MISS,1993,10226,10226,0,0.0
MISS,1994,9546,9546,0,0.0
MISS,1995,10752,10752,0,0.0
MISS,1996,16600,16600,0,0.0
MISS,1997,8598,8598,0,0.0
MISS,1998,13128,13128,0,0.0
MISS,1999,13050,13050,0,0.0
MISS,2000,19324,19324,0,0.0
MISS,2001,9240,9240,0,0.0
MISS,2002,5324,5324,0,0.0
MISS,2003,10131,10131,0,0.0
MISS,2004,5131,5131,0,0.0
MISS,2005,6690,6690,0,0.0
MISS,2006,10778,10778,0,0.0
MISS,2007,3898,3898,0,0.0
MISS,2008,1236,1236,0,0.0
MISS,2009,689,689,0,0.0
MISS,2010,993,993,0,0.0
MISS,2011,1062,1062,0,0.0
MISS,2012,2102,2102,0,0.0
MISS,2013,1802,1802,0,0.0
MISS,2014,1294,1294,0,0.0
MISS,2015,3184,3184,0,0.0
MISS,2016,2285,2285,0,0.0
MISS,2017,6184,6184,0,0.0
MISS,2018,3601,3601,0,0.0
MISS,2019,3659,3659,0,0.0
SACN,1990,10500,10500,0,0.0
SACN,1991,11263,11263,0,0.0
SACN,1992,13092,13092,0,0.0
SACN,1993,13224,13224,0,0.0
SACN,1994,27784,27784,0,0.0
SACN,1995,11329,11329,0,0.0
SACN,1996,22542,22542,0,0.0
SACN,1997,50846,50846,0,0.0
SACN,1998,17782,17782,0,0.0
SACN,1999,18963,18963,0,0.0
SACN,2000,16193,16193,0,0.0
SACN,2001,37949,37949,0,0.0
SACN,2002,10943,10943,0,0.0
SACN,2003,18214,18214,0,0.0
SACN,2004,21348,21348,0,0.0
SACN,2005,14179,14179,0,0.0
SACN,2006,21373,21373,0,0.0
SACN,2007,12842,12842,0,0.0
SACN,2008,14182,14182,0,0.0
SACN,2009,14311,14311,0,0.0
SACN,2010,27667,27667,0,0.0
SACN,2011,32237,32237,0,0.0
SACN,2012,19858,19858,0,0.0
SACN,2013,13255,13255,0,0.0
SACN,2014,12336,12336,0,0.0
SACN,2015,12881,12881,0,0.0
SACN,2016,10018,10018,0,0.0
SACN,2017,12334,12334,0,0.0
SACN,2018,7839,7839,0,0.0
SACN,2019,11292,11292,0,0.0
SACN,2020,9285,9285,0,0.0
SLBE,1990,4799,4799,0,0.0
SLBE,1991,4155,4155,0,0.0
SLBE,1992,3883,3883,0,0.0
SLBE,1993,2310,2310,0,0.0
SLBE,1994,4139,4139,0,0.0
SLBE,1995,6421,6421,0,0.0
SLBE,1996,6044,6044,0,0.0
SLBE,1997,6089,6089,0,0.0
SLBE,1998,5446,5446,0,0.0
SLBE,1999,3359,3359,0,0.0
SLBE,2000,4845,4845,0,0.0
SLBE,2001,5571,5571,0,0.0
SLBE,2002,4593,4593,0,0.0
SLBE,2003,5654,5654,0,0.0
SLBE,2004,4559,4559,0,0.0
SLBE,2005,6528,6528,0,0.0
SLBE,2006,9887,9887,0,0.0
SLBE,2007,5551,5551,0,0.0
SLBE,2008,4165,4165,0,0.0
SLBE,2009,8443,8443,0,0.0
SLBE,2010,4868,4868,0,0.0
SLBE,2011,4145,4145,0,0.0
SLBE,2012,8578,8578,0,0.0
SLBE,2013,3021,3021,0,0.0
SLBE,2014,10727,10727,0,0.0
