subregion,year,native_class,pixel_count,area_ha
APIS,1990,agriculture,184,16.56
APIS,1990,beaver,408,36.72
APIS,1990,development,617,55.53
APIS,1990,harvest,32683,2941.47
APIS,1990,unknown,13,1.17
APIS,1991,beaver,135,12.15
APIS,1991,development,975,87.75
APIS,1991,fire,35,3.15
APIS,1991,harvest,29820,2683.8
APIS,1991,insect_disease_defo,1585,142.65
APIS,1991,insect_disease_mort,26,2.34
APIS,1991,unknown,15,1.35
APIS,1992,agriculture,66,5.94
APIS,1992,beaver,90,8.1
APIS,1992,development,1590,143.1
APIS,1992,fire,1045,94.05
APIS,1992,harvest,24983,2248.47
APIS,1993,agriculture,332,29.88
APIS,1993,beaver,269,24.21
APIS,1993,development,2993,269.37
APIS,1993,harvest,26710,2403.9
APIS,1994,agriculture,342,30.78
APIS,1994,beaver,918,82.62
APIS,1994,development,1766,158.94
APIS,1994,fire,4300,387.0
APIS,1994,harvest,35285,3175.65
APIS,1995,agriculture,67,6.03
APIS,1995,beaver,63,5.67
APIS,1995,development,2361,212.49
APIS,1995,harvest,20078,1807.02
APIS,1995,unknown,22,1.98
APIS,1996,agriculture,236,21.24
APIS,1996,beaver,12,1.08
APIS,1996,development,1042,93.78
APIS,1996,harvest,17488,1573.92
APIS,1997,agriculture,58,5.22
APIS,1997,beaver,158,14.22
APIS,1997,development,1647,148.23
APIS,1997,harvest,15817,1423.53
APIS,1998,agriculture,378,34.02
APIS,1998,beaver,250,22.5
APIS,1998,development,2637,237.33
APIS,1998,harvest,21836,1965.24
APIS,1998,unknown,10,0.9
APIS,1999,beaver,83,7.47
APIS,1999,development,2080,187.2
APIS,1999,harvest,21721,1954.89
APIS,1999,insect_disease_defo,4655,418.95
APIS,2000,agriculture,91,8.19
APIS,2000,beaver,132,11.88
APIS,2000,development,2027,182.43
APIS,2000,harvest,13305,1197.45
APIS,2001,agriculture,143,12.87
APIS,2001,beaver,411,36.99
APIS,2001,development,1262,113.58
APIS,2001,harvest,14913,1342.17
APIS,2001,insect_disease_defo,521139,46902.51
APIS,2002,agriculture,12,1.08
APIS,2002,beaver,34,3.06
APIS,2002,development,314,28.26
APIS,2002,harvest,4146,373.14
APIS,2002,insect_disease_defo,1162,104.58
APIS,2003,agriculture,145,13.05
APIS,2003,beaver,88,7.92
APIS,2003,development,2351,211.59
APIS,2003,harvest,14906,1341.54
APIS,2004,agriculture,297,26.73
APIS,2004,beaver,172,15.48
APIS,2004,development,3242,291.78
APIS,2004,harvest,23564,2120.76
APIS,2005,agriculture,838,75.42
APIS,2005,beaver,161,14.49
APIS,2005,development,1864,167.76
APIS,2005,harvest,13939,1254.51
APIS,2006,agriculture,12,1.08
APIS,2006,beaver,256,23.04
APIS,2006,development,3695,332.55
APIS,2006,flooding,9,0.81
APIS,2006,harvest,31045,2794.05
APIS,2006,unknown,217,19.53
APIS,2007,agriculture,114,10.26
APIS,2007,beaver,140,12.6
APIS,2007,development,3991,359.19
APIS,2007,harvest,23132,2081.88
APIS,2008,agriculture,23,2.07
APIS,2008,beaver,59,5.31
APIS,2008,development,1131,101.79
APIS,2008,harvest,18862,1697.58
APIS,2008,unknown,9,0.81
APIS,2009,agriculture,11,0.99
APIS,2009,beaver,31,2.79
APIS,2009,development,1657,149.13
APIS,2009,harvest,16624,1496.16
APIS,2010,agriculture,158,14.22
APIS,2010,beaver,67,6.03
APIS,2010,development,569,51.21
APIS,2010,harvest,15967,1437.03
APIS,2010,insect_disease_defo,1590,143.1
APIS,2011,agriculture,28,2.52
APIS,2011,beaver,15,1.35
APIS,2011,blowdown,692,62.28
APIS,2011,development,523,47.07
APIS,2011,harvest,12874,1158.66
APIS,2011,unknown,9,0.81
APIS,2012,agriculture,21,1.89
APIS,2012,beaver,294,26.46
APIS,2012,development,997,89.73
APIS,2012,harvest,16444,1479.96
APIS,2012,insect_disease_defo,2726,245.34
APIS,2013,agriculture,330,29.7
APIS,2013,beaver,313,28.17
APIS,2013,development,701,63.09
APIS,2013,harvest,13219,1189.71
APIS,2013,unknown,15,1.35
APIS,2014,agriculture,354,31.86
APIS,2014,beaver,177,15.93
APIS,2014,blowdown,70,6.3
APIS,2014,development,614,55.26
APIS,2014,harvest,15233,1370.97
APIS,2015,agriculture,107,9.63
APIS,2015,beaver,110,9.9
APIS,2015,development,565,50.85
APIS,2015,harvest,22110,1989.9
APIS,2015,unknown,20,1.8
APIS,2016,agriculture,242,21.78
APIS,2016,beaver,245,22.05
APIS,2016,blowdown,1636,147.24
APIS,2016,development,569,51.21
APIS,2016,harvest,21133,1901.97
APIS,2016,insect_disease_mort,94,8.46
APIS,2016,unknown,956,86.04
APIS,2017,agriculture,352,31.68
APIS,2017,beaver,94,8.46
APIS,2017,blowdown,474,42.66
APIS,2017,development,301,27.09
APIS,2017,harvest,18355,1651.95
APIS,2017,unknown,38,3.42
APIS,2018,agriculture,111,9.99
APIS,2018,beaver,538,48.42
APIS,2018,development,79,7.11
APIS,2018,fire,41,3.69
APIS,2018,flooding,45,4.05
APIS,2018,harvest,19399,1745.91
APIS,2018,unknown,534,48.06
INDU,2007,agriculture,34,3.06
INDU,2007,development,3428,308.52
INDU,2007,flooding,289,26.01
INDU,2007,harvest,479,43.11
INDU,2007,unknown,178,16.02
INDU,2008,agriculture,82,7.38
INDU,2008,development,2586,232.74
INDU,2008,flooding,188,16.92
INDU,2008,harvest,176,15.84
INDU,2008,unknown,112,10.08
INDU,2009,agriculture,31,2.79
INDU,2009,development,1562,140.58
INDU,2009,flooding,39,3.51
INDU,2009,harvest,91,8.19
INDU,2009,unknown,14,1.26
INDU,2010,agriculture,20,1.8
INDU,2010,development,1146,103.14
INDU,2010,flooding,27,2.43
INDU,2010,harvest,283,25.47
INDU,2010,unknown,342,30.78
INDU,2011,development,1522,136.98
INDU,2011,harvest,322,28.98
INDU,2011,unknown,484,43.56
INDU,2012,agriculture,135,12.15
INDU,2012,development,1402,126.18
INDU,2012,harvest,139,12.51
ISRO,1995,agriculture,234,21.06
ISRO,1995,beaver,297,26.73
ISRO,1995,development,1154,103.86
ISRO,1995,harvest,14781,1330.29
ISRO,1995,unknown,24,2.16
ISRO,1996,agriculture,41,3.69
ISRO,1996,beaver,748,67.32
ISRO,1996,development,1289,116.01
ISRO,1996,harvest,27752,2497.68
ISRO,1997,agriculture,106,9.54
ISRO,1997,beaver,535,48.15
ISRO,1997,development,2203,198.27
ISRO,1997,harvest,30955,2785.95
ISRO,1997,insect_disease_defo,4683,421.47
ISRO,1997,unknown,48,4.32
ISRO,1998,beaver,294,26.46
ISRO,1998,blowdown,10,0.9
ISRO,1998,development,1529,137.61
ISRO,1998,harvest,41551,3739.59
ISRO,1998,insect_disease_defo,111292,10016.28
ISRO,1998,insect_disease_mort,1343,120.87
ISRO,1998,unknown,46,4.14
ISRO,1999,agriculture,21,1.89
ISRO,1999,beaver,137,12.33
ISRO,1999,development,717,64.53
ISRO,1999,harvest,32314,2908.26
ISRO,1999,insect_disease_defo,14778,1330.02
ISRO,2000,agriculture,21,1.89
ISRO,2000,beaver,412,37.08
ISRO,2000,blowdown,24,2.16
ISRO,2000,development,942,84.78
ISRO,2000,harvest,28067,2526.03
ISRO,2000,insect_disease_defo,29427,2648.43
ISRO,2000,unknown,27,2.43
ISRO,2001,beaver,2942,264.78
ISRO,2001,development,1220,109.8
ISRO,2001,harvest,36793,3311.37
ISRO,2001,insect_disease_defo,417919,37612.71
ISRO,2001,insect_disease_mort,65,5.85
