subregion,year,attributed_pixels,single_label_pixels,multi_label_pixels,pct_multi_label
APIS,1990,33905,33417,488,1.4393
APIS,1991,32591,32591,0,0.0
APIS,1992,27774,27691,83,0.2988
APIS,1993,30304,30056,248,0.8184
APIS,1994,42611,42611,0,0.0
APIS,1995,22591,22455,136,0.602
APIS,1996,18778,18540,238,1.2674
APIS,1997,17680,17648,32,0.181
APIS,1998,25111,25048,63,0.2509
APIS,1999,28539,28518,21,0.0736
APIS,2000,15555,15278,277,1.7808
APIS,2001,537868,534531,3337,0.6204
APIS,2002,5668,5656,12,0.2117
APIS,2003,17490,17141,349,1.9954
APIS,2004,27275,26751,524,1.9212
APIS,2005,16802,16558,244,1.4522
APIS,2006,35234,34029,1205,3.42
APIS,2007,27377,25481,1896,6.9255
APIS,2008,20084,20069,15,0.0747
APIS,2009,18323,18173,150,0.8186
APIS,2010,18351,18351,0,0.0
APIS,2011,14141,14109,32,0.2263
APIS,2012,20482,20365,117,0.5712
APIS,2013,14578,14578,0,0.0
APIS,2014,16448,16130,318,1.9334
APIS,2015,22912,22598,314,1.3705
APIS,2016,24875,24875,0,0.0
APIS,2017,19614,19614,0,0.0
APIS,2018,20747,20747,0,0.0
INDU,2007,4408,4408,0,0.0
INDU,2008,3144,3144,0,0.0
INDU,2009,1737,1737,0,0.0
INDU,2010,1818,1818,0,0.0
INDU,2011,2328,2328,0,0.0
INDU,2012,1676,1676,0,0.0
ISRO,1995,16490,16439,51,0.3093
ISRO,1996,29832,29832,0,0.0
ISRO,1997,38536,38536,0,0.0
ISRO,1998,156096,153948,2148,1.3761
ISRO,1999,47970,47970,0,0.0
ISRO,2000,58929,58929,0,0.0
ISRO,2001,459076,438303,20773,4.525
ISRO,2002,47330,47330,0,0.0
ISRO,2003,39414,39414,0,0.0
ISRO,2004,43033,42898,135,0.3137
ISRO,2005,52899,52899,0,0.0
ISRO,2006,45169,45084,85,0.1882
ISRO,2007,24572,24534,38,0.1546
ISRO,2008,23962,23962,0,0.0
ISRO,2009,21730,21730,0,0.0
ISRO,2010,21765,21139,626,2.8762
ISRO,2011,33552,33552,0,0.0
ISRO,2012,29117,29094,23,0.079
ISRO,2013,19342,19134,208,1.0754
ISRO,2014,21426,21426,0,0.0
ISRO,2015,20872,20842,30,0.1437
ISRO,2016,20297,20297,0,0.0
ISRO,2017,18933,18638,295,1.5581
MISS,1990,5766,5766,0,0.0
MISS,1991,8779,8779,0,0.0
MISS,1992,6887,6887,0,0.0
MISS,1993,10226,10226,0,0.0
MISS,1994,9546,9546,0,0.0
MISS,1995,10752,10752,0,0.0
MISS,1996,16600,16600,0,0.0
MISS,1997,8598,8598,0,0.0
MISS,1998,13128,13128,0,0.0
MISS,1999,13050,13050,0,0.0
MISS,2000,19324,19324,0,0.0
MISS,2001,9240,9240,0,0.0
MISS,2002,5324,5324,0,0.0
MISS,2003,10131,10131,0,0.0
MISS,2004,5131,5131,0,0.0
MISS,2005,6690,6690,0,0.0
MISS,2006,10778,10778,0,0.0
MISS,2007,3898,3898,0,0.0
MISS,2008,1236,1236,0,0.0
MISS,2009,689,689,0,0.0
MISS,2010,993,993,0,0.0
MISS,2011,1062,1062,0,0.0
MISS,2012,2102,2102,0,0.0
MISS,2013,1802,1802,0,0.0
MISS,2014,1294,1294,0,0.0
MISS,2015,3184,3184,0,0.0
MISS,2016,2285,2285,0,0.0
MISS,2017,6184,6184,0,0.0
MISS,2018,3601,3601,0,0.0
MISS,2019,3659,3659,0,0.0
SACN,1990,10500,10500,0,0.0
SACN,1991,11263,11089,174,1.5449
SACN,1992,13092,12985,107,0.8173
SACN,1993,13224,12797,427,3.229
SACN,1994,27784,27749,35,0.126
SACN,1995,11329,10973,356,3.1424
SACN,1996,22542,22362,180,0.7985
SACN,1997,50846,38221,12625,24.8299
SACN,1998,17782,17276,506,2.8456
SACN,1999,18963,18492,471,2.4838
SACN,2000,16193,16077,116,0.7164
SACN,2001,37949,37124,825,2.174
SACN,2002,10943,10943,0,0.0
SACN,2003,18214,18169,45,0.2471
