subregion,native_class,pixel_count,area_ha,spatial_prevalence_pct
APIS,harvest,575591,51803.19,49.04
APIS,insect_disease_defo,532857,47957.13,45.399
APIS,development,44160,3974.4,3.762
APIS,beaver,5723,515.07,0.488
APIS,fire,5421,487.89,0.462
APIS,agriculture,5052,454.68,0.43
APIS,blowdown,2872,258.48,0.245
APIS,unknown,1858,167.22,0.158
APIS,insect_disease_mort,120,10.8,0.01
APIS,flooding,54,4.86,0.005
INDU,development,11646,1048.14,77.07
INDU,harvest,1490,134.1,9.86
INDU,unknown,1130,101.7,7.478
INDU,flooding,543,48.87,3.593
INDU,agriculture,302,27.18,1.999
ISRO,harvest,634627,57116.43,49.183
ISRO,insect_disease_defo,588932,53003.88,45.642
ISRO,development,40345,3631.05,3.127
ISRO,beaver,20266,1823.94,1.571
ISRO,agriculture,3400,306.0,0.263
ISRO,insect_disease_mort,1437,129.33,0.111
ISRO,blowdown,646,58.14,0.05
ISRO,unknown,472,42.48,0.037
ISRO,fire,217,19.53,0.017
MISS,development,199393,17945.37,98.739
MISS,agriculture,906,81.54,0.449
MISS,unknown,701,63.09,0.347
MISS,flooding,335,30.15,0.166
MISS,insect_disease_mort,328,29.52,0.162
MISS,harvest,217,19.53,0.107
MISS,blowdown,31,2.79,0.015
MISS,fire,28,2.52,0.014
SACN,harvest,413583,37222.47,75.49
SACN,development,112499,10124.91,20.534
SACN,blowdown,7657,689.13,1.398
SACN,agriculture,6021,541.89,1.099
SACN,beaver,4283,385.47,0.782
SACN,unknown,3200,288.0,0.584
SACN,flooding,422,37.98,0.077
SACN,insect_disease_mort,196,17.64,0.036
SLBE,harvest,117749,10597.41,60.087
SLBE,development,54714,4924.26,27.92
SLBE,agriculture,14957,1346.13,7.632
SLBE,blowdown,5553,499.77,2.834
SLBE,insect_disease_mort,2108,189.72,1.076
SLBE,unknown,843,75.87,0.43
SLBE,flooding,41,3.69,0.021
VOYA,harvest,570130,51311.7,87.309
VOYA,insect_disease_defo,28364,2552.76,4.344
VOYA,blowdown,22076,1986.84,3.381
VOYA,beaver,17374,1563.66,2.661
VOYA,fire,6529,587.61,1.0
VOYA,development,5177,465.93,0.793
VOYA,insect_disease_mort,1480,133.2,0.227
VOYA,agriculture,1245,112.05,0.191
VOYA,flooding,318,28.62,0.049
VOYA,unknown,307,27.63,0.047
