subregion,year,native_class,pixel_count,area_ha,spatial_prevalence_pct
APIS,1990,harvest,32683,2941.47,96.396
APIS,1990,development,617,55.53,1.82
APIS,1990,beaver,408,36.72,1.203
APIS,1990,agriculture,184,16.56,0.543
APIS,1990,unknown,13,1.17,0.038
APIS,1991,harvest,29820,2683.8,91.498
APIS,1991,insect_disease_defo,1585,142.65,4.863
APIS,1991,development,975,87.75,2.992
APIS,1991,beaver,135,12.15,0.414
APIS,1991,fire,35,3.15,0.107
APIS,1991,insect_disease_mort,26,2.34,0.08
APIS,1991,unknown,15,1.35,0.046
APIS,1992,harvest,24983,2248.47,89.951
APIS,1992,development,1590,143.1,5.725
APIS,1992,fire,1045,94.05,3.763
APIS,1992,beaver,90,8.1,0.324
APIS,1992,agriculture,66,5.94,0.238
APIS,1993,harvest,26710,2403.9,88.14
APIS,1993,development,2993,269.37,9.877
APIS,1993,agriculture,332,29.88,1.096
APIS,1993,beaver,269,24.21,0.888
APIS,1994,harvest,35285,3175.65,82.807
APIS,1994,fire,4300,387.0,10.091
APIS,1994,development,1766,158.94,4.144
APIS,1994,beaver,918,82.62,2.154
APIS,1994,agriculture,342,30.78,0.803
APIS,1995,harvest,20078,1807.02,88.876
APIS,1995,development,2361,212.49,10.451
APIS,1995,agriculture,67,6.03,0.297
APIS,1995,beaver,63,5.67,0.279
APIS,1995,unknown,22,1.98,0.097
APIS,1996,harvest,17488,1573.92,93.13
APIS,1996,development,1042,93.78,5.549
APIS,1996,agriculture,236,21.24,1.257
APIS,1996,beaver,12,1.08,0.064
APIS,1997,harvest,15817,1423.53,89.463
APIS,1997,development,1647,148.23,9.316
APIS,1997,beaver,158,14.22,0.894
APIS,1997,agriculture,58,5.22,0.328
APIS,1998,harvest,21836,1965.24,86.958
APIS,1998,development,2637,237.33,10.501
APIS,1998,agriculture,378,34.02,1.505
APIS,1998,beaver,250,22.5,0.996
APIS,1998,unknown,10,0.9,0.04
APIS,1999,harvest,21721,1954.89,76.11
APIS,1999,insect_disease_defo,4655,418.95,16.311
APIS,1999,development,2080,187.2,7.288
APIS,1999,beaver,83,7.47,0.291
APIS,2000,harvest,13305,1197.45,85.535
APIS,2000,development,2027,182.43,13.031
APIS,2000,beaver,132,11.88,0.849
APIS,2000,agriculture,91,8.19,0.585
APIS,2001,insect_disease_defo,521139,46902.51,96.89
APIS,2001,harvest,14913,1342.17,2.773
APIS,2001,development,1262,113.58,0.235
APIS,2001,beaver,411,36.99,0.076
APIS,2001,agriculture,143,12.87,0.027
APIS,2002,harvest,4146,373.14,73.147
APIS,2002,insect_disease_defo,1162,104.58,20.501
APIS,2002,development,314,28.26,5.54
APIS,2002,beaver,34,3.06,0.6
APIS,2002,agriculture,12,1.08,0.212
APIS,2003,harvest,14906,1341.54,85.226
APIS,2003,development,2351,211.59,13.442
APIS,2003,agriculture,145,13.05,0.829
APIS,2003,beaver,88,7.92,0.503
APIS,2004,harvest,23564,2120.76,86.394
APIS,2004,development,3242,291.78,11.886
APIS,2004,agriculture,297,26.73,1.089
APIS,2004,beaver,172,15.48,0.631
APIS,2005,harvest,13939,1254.51,82.96
APIS,2005,development,1864,167.76,11.094
APIS,2005,agriculture,838,75.42,4.988
APIS,2005,beaver,161,14.49,0.958
APIS,2006,harvest,31045,2794.05,88.111
APIS,2006,development,3695,332.55,10.487
APIS,2006,beaver,256,23.04,0.727
APIS,2006,unknown,217,19.53,0.616
APIS,2006,agriculture,12,1.08,0.034
APIS,2006,flooding,9,0.81,0.026
APIS,2007,harvest,23132,2081.88,84.494
APIS,2007,development,3991,359.19,14.578
APIS,2007,beaver,140,12.6,0.511
APIS,2007,agriculture,114,10.26,0.416
APIS,2008,harvest,18862,1697.58,93.916
APIS,2008,development,1131,101.79,5.631
APIS,2008,beaver,59,5.31,0.294
APIS,2008,agriculture,23,2.07,0.115
APIS,2008,unknown,9,0.81,0.045
APIS,2009,harvest,16624,1496.16,90.728
APIS,2009,development,1657,149.13,9.043
APIS,2009,beaver,31,2.79,0.169
APIS,2009,agriculture,11,0.99,0.06
APIS,2010,harvest,15967,1437.03,87.009
APIS,2010,insect_disease_defo,1590,143.1,8.664
APIS,2010,development,569,51.21,3.101
APIS,2010,agriculture,158,14.22,0.861
APIS,2010,beaver,67,6.03,0.365
APIS,2011,harvest,12874,1158.66,91.04
APIS,2011,blowdown,692,62.28,4.894
APIS,2011,development,523,47.07,3.698
APIS,2011,agriculture,28,2.52,0.198
APIS,2011,beaver,15,1.35,0.106
APIS,2011,unknown,9,0.81,0.064
APIS,2012,harvest,16444,1479.96,80.285
APIS,2012,insect_disease_defo,2726,245.34,13.309
APIS,2012,development,997,89.73,4.868
APIS,2012,beaver,294,26.46,1.435
APIS,2012,agriculture,21,1.89,0.103
APIS,2013,harvest,13219,1189.71,90.678
APIS,2013,development,701,63.09,4.809
APIS,2013,agriculture,330,29.7,2.264
APIS,2013,beaver,313,28.17,2.147
APIS,2013,unknown,15,1.35,0.103
APIS,2014,harvest,15233,1370.97,92.613
APIS,2014,development,614,55.26,3.733
APIS,2014,agriculture,354,31.86,2.152
APIS,2014,beaver,177,15.93,1.076
APIS,2014,blowdown,70,6.3,0.426
APIS,2015,harvest,22110,1989.9,96.5
APIS,2015,development,565,50.85,2.466
APIS,2015,beaver,110,9.9,0.48
APIS,2015,agriculture,107,9.63,0.467
APIS,2015,unknown,20,1.8,0.087
APIS,2016,harvest,21133,1901.97,84.957
APIS,2016,blowdown,1636,147.24,6.577
APIS,2016,unknown,956,86.04,3.843
APIS,2016,development,569,51.21,2.287
APIS,2016,beaver,245,22.05,0.985
APIS,2016,agriculture,242,21.78,0.973
APIS,2016,insect_disease_mort,94,8.46,0.378
APIS,2017,harvest,18355,1651.95,93.581
APIS,2017,blowdown,474,42.66,2.417
APIS,2017,agriculture,352,31.68,1.795
APIS,2017,development,301,27.09,1.535
APIS,2017,beaver,94,8.46,0.479
APIS,2017,unknown,38,3.42,0.194
APIS,2018,harvest,19399,1745.91,93.503
APIS,2018,beaver,538,48.42,2.593
APIS,2018,unknown,534,48.06,2.574
APIS,2018,agriculture,111,9.99,0.535
APIS,2018,development,79,7.11,0.381
APIS,2018,flooding,45,4.05,0.217
APIS,2018,fire,41,3.69,0.198
INDU,2007,development,3428,308.52,77.768
INDU,2007,harvest,479,43.11,10.867
INDU,2007,flooding,289,26.01,6.556
INDU,2007,unknown,178,16.02,4.038
INDU,2007,agriculture,34,3.06,0.771
INDU,2008,development,2586,232.74,82.252
INDU,2008,flooding,188,16.92,5.98
INDU,2008,harvest,176,15.84,5.598
INDU,2008,unknown,112,10.08,3.562
INDU,2008,agriculture,82,7.38,2.608
INDU,2009,development,1562,140.58,89.925
INDU,2009,harvest,91,8.19,5.239
INDU,2009,flooding,39,3.51,2.245
INDU,2009,agriculture,31,2.79,1.785
INDU,2009,unknown,14,1.26,0.806
INDU,2010,development,1146,103.14,63.036
INDU,2010,unknown,342,30.78,18.812
INDU,2010,harvest,283,25.47,15.567
INDU,2010,flooding,27,2.43,1.485
INDU,2010,agriculture,20,1.8,1.1
INDU,2011,development,1522,136.98,65.378
INDU,2011,unknown,484,43.56,20.79
INDU,2011,harvest,322,28.98,13.832
INDU,2012,development,1402,126.18,83.652
INDU,2012,harvest,139,12.51,8.294
INDU,2012,agriculture,135,12.15,8.055
ISRO,1995,harvest,14781,1330.29,89.636
ISRO,1995,development,1154,103.86,6.998
ISRO,1995,beaver,297,26.73,1.801
ISRO,1995,agriculture,234,21.06,1.419
ISRO,1995,unknown,24,2.16,0.146
ISRO,1996,harvest,27752,2497.68,93.028
ISRO,1996,development,1291,116.19,4.328
ISRO,1996,beaver,748,67.32,2.507
ISRO,1996,agriculture,41,3.69,0.137
ISRO,1997,harvest,30955,2785.95,80.327
ISRO,1997,insect_disease_defo,4683,421.47,12.152
ISRO,1997,development,2209,198.81,5.732
ISRO,1997,beaver,535,48.15,1.388
ISRO,1997,agriculture,106,9.54,0.275
ISRO,1997,unknown,48,4.32,0.125
ISRO,1998,insect_disease_defo,111317,10018.53,71.313
ISRO,1998,harvest,41551,3739.59,26.619
ISRO,1998,development,1535,138.15,0.983
ISRO,1998,insect_disease_mort,1343,120.87,0.86
ISRO,1998,beaver,294,26.46,0.188
ISRO,1998,unknown,46,4.14,0.029
ISRO,1998,blowdown,10,0.9,0.006
ISRO,1999,harvest,32314,2908.26,67.363
ISRO,1999,insect_disease_defo,14780,1330.2,30.811
ISRO,1999,development,718,64.62,1.497
ISRO,1999,beaver,137,12.33,0.286
ISRO,1999,agriculture,21,1.89,0.044
ISRO,2000,insect_disease_defo,29431,2648.79,49.943
ISRO,2000,harvest,28067,2526.03,47.629
ISRO,2000,development,947,85.23,1.607
ISRO,2000,beaver,412,37.08,0.699
ISRO,2000,unknown,27,2.43,0.046
ISRO,2000,blowdown,24,2.16,0.041
ISRO,2000,agriculture,21,1.89,0.036
ISRO,2001,insect_disease_defo,417968,37617.12,91.045
ISRO,2001,harvest,36793,3311.37,8.015
ISRO,2001,beaver,2942,264.78,0.641
ISRO,2001,development,1220,109.8,0.266
ISRO,2001,unknown,88,7.92,0.019
ISRO,2001,insect_disease_mort,65,5.85,0.014
ISRO,2002,harvest,34929,3143.61,73.799
ISRO,2002,insect_disease_defo,10753,967.77,22.719
ISRO,2002,development,1041,93.69,2.199
ISRO,2002,agriculture,301,27.09,0.636
ISRO,2002,beaver,281,25.29,0.594
ISRO,2002,blowdown,16,1.44,0.034
ISRO,2002,unknown,9,0.81,0.019
ISRO,2003,harvest,36593,3293.37,92.843
ISRO,2003,development,2201,198.09,5.584
ISRO,2003,beaver,576,51.84,1.461
ISRO,2003,unknown,44,3.96,0.112
ISRO,2004,harvest,41313,3718.17,96.003
ISRO,2004,development,1000,90.0,2.324
ISRO,2004,beaver,688,61.92,1.599
ISRO,2004,agriculture,18,1.62,0.042
ISRO,2004,unknown,14,1.26,0.033
ISRO,2005,harvest,49362,4442.58,93.314
ISRO,2005,development,2398,215.82,4.533
ISRO,2005,beaver,951,85.59,1.798
ISRO,2005,agriculture,164,14.76,0.31
ISRO,2005,unknown,24,2.16,0.045
ISRO,2006,harvest,42534,3828.06,94.166
ISRO,2006,development,1415,127.35,3.133
ISRO,2006,beaver,1092,98.28,2.418
ISRO,2006,agriculture,119,10.71,0.263
ISRO,2006,unknown,9,0.81,0.02
ISRO,2007,harvest,23114,2080.26,94.066
ISRO,2007,development,921,82.89,3.748
ISRO,2007,beaver,537,48.33,2.185
ISRO,2008,harvest,22159,1994.31,92.476
ISRO,2008,beaver,1182,106.38,4.933
ISRO,2008,development,579,52.11,2.416
ISRO,2008,unknown,29,2.61,0.121
ISRO,2008,blowdown,13,1.17,0.054
ISRO,2009,harvest,17885,1609.65,82.306
ISRO,2009,development,2341,210.69,10.773
ISRO,2009,beaver,977,87.93,4.496
ISRO,2009,agriculture,527,47.43,2.425
ISRO,2010,harvest,19616,1765.44,90.126
ISRO,2010,development,1614,145.26,7.416
ISRO,2010,beaver,311,27.99,1.429
ISRO,2010,agriculture,213,19.17,0.979
ISRO,2010,blowdown,11,0.99,0.051
ISRO,2011,harvest,28375,2553.75,84.57
ISRO,2011,development,4343,390.87,12.944
ISRO,2011,beaver,553,49.77,1.648
ISRO,2011,blowdown,281,25.29,0.838
ISRO,2012,harvest,24319,2188.71,83.522
ISRO,2012,development,2761,248.49,9.482
ISRO,2012,beaver,1796,161.64,6.168
ISRO,2012,blowdown,197,17.73,0.677
ISRO,2012,agriculture,44,3.96,0.151
ISRO,2013,harvest,13998,1259.82,72.371
ISRO,2013,development,3353,301.77,17.335
ISRO,2013,beaver,1765,158.85,9.125
ISRO,2013,fire,217,19.53,1.122
ISRO,2013,agriculture,9,0.81,0.047
ISRO,2014,harvest,18298,1646.82,85.401
ISRO,2014,development,1428,128.52,6.665
ISRO,2014,beaver,974,87.66,4.546
ISRO,2014,agriculture,702,63.18,3.276
ISRO,2014,unknown,24,2.16,0.112
ISRO,2015,harvest,17202,1548.18,82.417
ISRO,2015,development,2119,190.71,10.152
ISRO,2015,beaver,1124,101.16,5.385
ISRO,2015,agriculture,343,30.87,1.643
ISRO,2015,unknown,55,4.95,0.264
ISRO,2015,insect_disease_mort,29,2.61,0.139
ISRO,2016,harvest,17626,1586.34,86.84
ISRO,2016,development,1889,170.01,9.307
ISRO,2016,beaver,640,57.6,3.153
ISRO,2016,blowdown,94,8.46,0.463
ISRO,2016,unknown,31,2.79,0.153
ISRO,2016,agriculture,17,1.53,0.084
ISRO,2017,harvest,15091,1358.19,79.707
ISRO,2017,development,1868,168.12,9.866
ISRO,2017,beaver,1454,130.86,7.68
ISRO,2017,agriculture,520,46.8,2.747
MISS,1990,development,5766,518.94,100.0
MISS,1991,development,8779,790.11,100.0
MISS,1992,development,6887,619.83,100.0
MISS,1993,development,10226,920.34,100.0
MISS,1994,development,9546,859.14,100.0
MISS,1995,development,10752,967.68,100.0
MISS,1996,development,16590,1493.1,99.94
MISS,1996,fire,10,0.9,0.06
MISS,1997,development,8598,773.82,100.0
MISS,1998,development,13128,1181.52,100.0
MISS,1999,development,13050,1174.5,100.0
MISS,2000,development,19306,1737.54,99.907
MISS,2000,fire,18,1.62,0.093
MISS,2001,development,9240,831.6,100.0
MISS,2002,development,5293,476.37,99.418
MISS,2002,blowdown,31,2.79,0.582
MISS,2003,development,9937,894.33,98.085
MISS,2003,unknown,194,17.46,1.915
MISS,2004,development,5111,459.99,99.61
MISS,2004,agriculture,20,1.8,0.39
MISS,2005,development,6642,597.78,99.283
MISS,2005,unknown,28,2.52,0.419
MISS,2005,flooding,20,1.8,0.299
MISS,2006,development,10778,970.02,100.0
MISS,2007,development,3883,349.47,99.615
MISS,2007,unknown,15,1.35,0.385
MISS,2008,development,1192,107.28,96.44
MISS,2008,flooding,44,3.96,3.56
MISS,2009,development,689,62.01,100.0
MISS,2010,development,993,89.37,100.0
MISS,2011,development,1040,93.6,97.928
MISS,2011,flooding,22,1.98,2.072
MISS,2012,development,2102,189.18,100.0
MISS,2013,development,1802,162.18,100.0
MISS,2014,development,1275,114.75,98.532
MISS,2014,unknown,19,1.71,1.468
MISS,2015,development,2914,262.26,91.52
MISS,2015,agriculture,162,14.58,5.088
MISS,2015,insect_disease_mort,48,4.32,1.508
MISS,2015,harvest,34,3.06,1.068
MISS,2015,unknown,26,2.34,0.817
MISS,2016,development,2207,198.63,96.586
MISS,2016,insect_disease_mort,64,5.76,2.801
MISS,2016,unknown,14,1.26,0.613
MISS,2017,development,5035,453.15,81.42
MISS,2017,agriculture,566,50.94,9.153
MISS,2017,unknown,247,22.23,3.994
MISS,2017,insect_disease_mort,216,19.44,3.493
MISS,2017,harvest,72,6.48,1.164
MISS,2017,flooding,48,4.32,0.776
MISS,2018,development,3342,300.78,92.808
MISS,2018,flooding,144,12.96,3.999
MISS,2018,unknown,92,8.28,2.555
