subregion,native_class,pixel_count,area_ha
APIS,agriculture,5605,504.45
APIS,beaver,5723,515.07
APIS,blowdown,2872,258.48
APIS,development,47276,4254.84
APIS,fire,5421,487.89
APIS,flooding,54,4.86
APIS,harvest,579023,52112.07
APIS,insect_disease_defo,535933,48233.97
APIS,insect_disease_mort,120,10.8
APIS,unknown,1858,167.22
INDU,agriculture,302,27.18
INDU,development,11646,1048.14
INDU,flooding,543,48.87
INDU,harvest,1490,134.1
INDU,unknown,1130,101.7
ISRO,agriculture,3400,306.0
ISRO,beaver,21186,1906.74
ISRO,blowdown,646,58.14
ISRO,development,40642,3657.78
ISRO,fire,217,19.53
ISRO,harvest,638394,57455.46
ISRO,insect_disease_defo,608360,54752.4
ISRO,insect_disease_mort,1437,129.33
ISRO,unknown,472,42.48
MISS,agriculture,906,81.54
MISS,blowdown,31,2.79
MISS,development,199393,17945.37
MISS,fire,28,2.52
MISS,flooding,335,30.15
MISS,harvest,217,19.53
MISS,insect_disease_mort,328,29.52
MISS,unknown,701,63.09
SACN,agriculture,7720,694.8
SACN,beaver,4450,400.5
SACN,blowdown,7657,689.13
SACN,development,132221,11899.89
SACN,flooding,422,37.98
SACN,harvest,414527,37307.43
SACN,insect_disease_mort,246,22.14
SACN,unknown,3437,309.33
SLBE,agriculture,15100,1359.0
SLBE,blowdown,5553,499.77
SLBE,development,55573,5001.57
SLBE,flooding,41,3.69
SLBE,harvest,119471,10752.39
SLBE,insect_disease_mort,2118,190.62
SLBE,unknown,843,75.87
VOYA,agriculture,1325,119.25
VOYA,beaver,18144,1632.96
VOYA,blowdown,22076,1986.84
VOYA,development,6517,586.53
VOYA,fire,6529,587.61
VOYA,flooding,318,28.62
VOYA,harvest,573054,51574.86
VOYA,insect_disease_defo,30765,2768.85
VOYA,insect_disease_mort,1741,156.69
VOYA,unknown,307,27.63
