subregion,native_class,pixel_count,area_ha
APIS,agriculture,5052,454.68
APIS,beaver,5723,515.07
APIS,blowdown,2872,258.48
APIS,development,44160,3974.4
APIS,fire,5421,487.89
APIS,flooding,54,4.86
APIS,harvest,575591,51803.19
APIS,insect_disease_defo,532857,47957.13
APIS,insect_disease_mort,120,10.8
APIS,unknown,1858,167.22
INDU,agriculture,302,27.18
INDU,development,11646,1048.14
INDU,flooding,543,48.87
INDU,harvest,1490,134.1
INDU,unknown,1130,101.7
ISRO,agriculture,3400,306.0
ISRO,beaver,20266,1823.94
ISRO,blowdown,646,58.14
ISRO,development,40345,3631.05
ISRO,fire,217,19.53
ISRO,harvest,634627,57116.43
ISRO,insect_disease_defo,588932,53003.88
ISRO,insect_disease_mort,1437,129.33
ISRO,unknown,472,42.48
MISS,agriculture,906,81.54
MISS,blowdown,31,2.79
MISS,development,199393,17945.37
MISS,fire,28,2.52
MISS,flooding,335,30.15
MISS,harvest,217,19.53
MISS,insect_disease_mort,328,29.52
MISS,unknown,701,63.09
SACN,agriculture,6021,541.89
SACN,beaver,4283,385.47
SACN,blowdown,7657,689.13
SACN,development,112499,10124.91
SACN,flooding,422,37.98
SACN,harvest,413583,37222.47
SACN,insect_disease_mort,196,17.64
SACN,unknown,3200,288.0
SLBE,agriculture,14957,1346.13
SLBE,blowdown,5553,499.77
SLBE,development,54714,4924.26
SLBE,flooding,41,3.69
SLBE,harvest,117749,10597.41
SLBE,insect_disease_mort,2108,189.72
SLBE,unknown,843,75.87
VOYA,agriculture,1245,112.05
VOYA,beaver,17374,1563.66
VOYA,blowdown,22076,1986.84
VOYA,development,5177,465.93
VOYA,fire,6529,587.61
VOYA,flooding,318,28.62
VOYA,harvest,570130,51311.7
VOYA,insect_disease_defo,28364,2552.76
VOYA,insect_disease_mort,1480,133.2
VOYA,unknown,307,27.63
