subregion,year,total_pixel_count,total_area_ha
APIS,1990,34393,3095.37
APIS,1991,32591,2933.19
APIS,1992,27857,2507.13
APIS,1993,30552,2749.68
APIS,1994,42611,3834.99
APIS,1995,22805,2052.45
APIS,1996,19016,1711.44
APIS,1997,17712,1594.08
APIS,1998,25174,2265.66
APIS,1999,28560,2570.4
APIS,2000,15832,1424.88
APIS,2001,541205,48708.45
APIS,2002,5680,511.2
APIS,2003,17839,1605.51
APIS,2004,27799,2501.91
APIS,2005,17046,1534.14
APIS,2006,36439,3279.51
APIS,2007,29273,2634.57
APIS,2008,20099,1808.91
APIS,2009,18473,1662.57
APIS,2010,18351,1651.59
APIS,2011,14173,1275.57
APIS,2012,20599,1853.91
APIS,2013,14578,1312.02
APIS,2014,16766,1508.94
APIS,2015,23226,2090.34
APIS,2016,24875,2238.75
APIS,2017,19614,1765.26
APIS,2018,20747,1867.23
INDU,2007,4408,396.72
INDU,2008,3144,282.96
INDU,2009,1737,156.33
INDU,2010,1818,163.62
INDU,2011,2328,209.52
INDU,2012,1676,150.84
ISRO,1995,16541,1488.69
ISRO,1996,29832,2684.88
ISRO,1997,38536,3468.24
ISRO,1998,158244,14241.96
ISRO,1999,47970,4317.3
ISRO,2000,58929,5303.61
ISRO,2001,479849,43186.41
ISRO,2002,47330,4259.7
ISRO,2003,39414,3547.26
ISRO,2004,43168,3885.12
ISRO,2005,52899,4760.91
ISRO,2006,45254,4072.86
ISRO,2007,24610,2214.9
ISRO,2008,23962,2156.58
ISRO,2009,21730,1955.7
ISRO,2010,22391,2015.19
ISRO,2011,33552,3019.68
ISRO,2012,29140,2622.6
ISRO,2013,19550,1759.5
ISRO,2014,21426,1928.34
ISRO,2015,20902,1881.18
ISRO,2016,20297,1826.73
ISRO,2017,19228,1730.52
MISS,1990,5766,518.94
MISS,1991,8779,790.11
MISS,1992,6887,619.83
MISS,1993,10226,920.34
MISS,1994,9546,859.14
MISS,1995,10752,967.68
MISS,1996,16600,1494.0
MISS,1997,8598,773.82
MISS,1998,13128,1181.52
MISS,1999,13050,1174.5
MISS,2000,19324,1739.16
MISS,2001,9240,831.6
MISS,2002,5324,479.16
MISS,2003,10131,911.79
MISS,2004,5131,461.79
MISS,2005,6690,602.1
MISS,2006,10778,970.02
MISS,2007,3898,350.82
MISS,2008,1236,111.24
MISS,2009,689,62.01
MISS,2010,993,89.37
MISS,2011,1062,95.58
MISS,2012,2102,189.18
MISS,2013,1802,162.18
MISS,2014,1294,116.46
MISS,2015,3184,286.56
MISS,2016,2285,205.65
MISS,2017,6184,556.56
MISS,2018,3601,324.09
MISS,2019,3659,329.31
SACN,1990,10500,945.0
SACN,1991,11437,1029.33
SACN,1992,13199,1187.91
SACN,1993,13651,1228.59
SACN,1994,27819,2503.71
SACN,1995,11685,1051.65
SACN,1996,22722,2044.98
SACN,1997,63471,5712.39
SACN,1998,18288,1645.92
SACN,1999,19434,1749.06
SACN,2000,16309,1467.81
SACN,2001,38774,3489.66
SACN,2002,10943,984.87
SACN,2003,18259,1643.31
SACN,2004,21621,1945.89
SACN,2005,14353,1291.77
SACN,2006,22106,1989.54
SACN,2007,13523,1217.07
SACN,2008,14397,1295.73
SACN,2009,14526,1307.34
SACN,2010,29376,2643.84
SACN,2011,33060,2975.4
SACN,2012,20106,1809.54
SACN,2013,13379,1204.11
SACN,2014,12403,1116.27
SACN,2015,13738,1236.42
SACN,2016,10175,915.75
SACN,2017,12656,1139.04
SACN,2018,7839,705.51
SACN,2019,11629,1046.61
SACN,2020,9302,837.18
SLBE,1990,4902,441.18
SLBE,1991,4183,376.47
SLBE,1992,4311,387.99
SLBE,1993,2310,207.9
SLBE,1994,4174,375.66
SLBE,1995,6468,582.12
SLBE,1996,6429,578.61
SLBE,1997,6219,559.71
SLBE,1998,5659,509.31
SLBE,1999,3359,302.31
SLBE,2000,4899,440.91
SLBE,2001,5877,528.93
SLBE,2002,4745,427.05
SLBE,2003,5743,516.87
SLBE,2004,4582,412.38
SLBE,2005,6575,591.75
SLBE,2006,10021,901.89
SLBE,2007,5621,505.89
SLBE,2008,4165,374.85
SLBE,2009,8487,763.83
SLBE,2010,4982,448.38
SLBE,2011,4145,373.05
SLBE,2012,8634,777.06
SLBE,2013,3021,271.89
SLBE,2014,10856,977.04
SLBE,2015,8941,804.69
SLBE,2016,11522,1036.98
SLBE,2017,6593,593.37
SLBE,2018,8203,738.27
SLBE,2019,7262,653.58
SLBE,2020,9313,838.17
SLBE,2021,6498,584.82
VOYA,1995,31769,2859.21
VOYA,1996,30534,2748.06
VOYA,1997,49162,4424.58
VOYA,1998,34387,3094.83
VOYA,1999,45451,4090.59
VOYA,2000,83509,7515.81
VOYA,2001,42241,3801.69
VOYA,2002,33888,3049.92
VOYA,2003,47324,4259.16
VOYA,2004,42820,3853.8
VOYA,2005,37348,3361.32
VOYA,2006,22126,1991.34
VOYA,2007,23628,2126.52
VOYA,2008,19272,1734.48
VOYA,2009,25609,2304.81
VOYA,2010,22233,2000.97
VOYA,2011,26967,2427.03
VOYA,2012,30515,2746.35
VOYA,2013,11993,1079.37
