subregion,year,total_pixel_count,total_area_ha
APIS,1990,33905,3051.45
APIS,1991,32591,2933.19
APIS,1992,27774,2499.66
APIS,1993,30304,2727.36
APIS,1994,42611,3834.99
APIS,1995,22591,2033.19
APIS,1996,18778,1690.02
APIS,1997,17680,1591.2
APIS,1998,25111,2259.99
APIS,1999,28539,2568.51
APIS,2000,15555,1399.95
APIS,2001,537868,48408.12
APIS,2002,5668,510.12
APIS,2003,17490,1574.1
APIS,2004,27275,2454.75
APIS,2005,16802,1512.18
APIS,2006,35234,3171.06
APIS,2007,27377,2463.93
APIS,2008,20084,1807.56
APIS,2009,18323,1649.07
APIS,2010,18351,1651.59
APIS,2011,14141,1272.69
APIS,2012,20482,1843.38
APIS,2013,14578,1312.02
APIS,2014,16448,1480.32
APIS,2015,22912,2062.08
APIS,2016,24875,2238.75
APIS,2017,19614,1765.26
APIS,2018,20747,1867.23
INDU,2007,4408,396.72
INDU,2008,3144,282.96
INDU,2009,1737,156.33
INDU,2010,1818,163.62
INDU,2011,2328,209.52
INDU,2012,1676,150.84
ISRO,1995,16490,1484.1
ISRO,1996,29832,2684.88
ISRO,1997,38536,3468.24
ISRO,1998,156096,14048.64
ISRO,1999,47970,4317.3
ISRO,2000,58929,5303.61
ISRO,2001,459076,41316.84
ISRO,2002,47330,4259.7
ISRO,2003,39414,3547.26
ISRO,2004,43033,3872.97
ISRO,2005,52899,4760.91
ISRO,2006,45169,4065.21
ISRO,2007,24572,2211.48
ISRO,2008,23962,2156.58
ISRO,2009,21730,1955.7
ISRO,2010,21765,1958.85
ISRO,2011,33552,3019.68
ISRO,2012,29117,2620.53
ISRO,2013,19342,1740.78
ISRO,2014,21426,1928.34
ISRO,2015,20872,1878.48
ISRO,2016,20297,1826.73
ISRO,2017,18933,1703.97
MISS,1990,5766,518.94
MISS,1991,8779,790.11
MISS,1992,6887,619.83
MISS,1993,10226,920.34
MISS,1994,9546,859.14
MISS,1995,10752,967.68
MISS,1996,16600,1494.0
MISS,1997,8598,773.82
MISS,1998,13128,1181.52
MISS,1999,13050,1174.5
MISS,2000,19324,1739.16
MISS,2001,9240,831.6
MISS,2002,5324,479.16
MISS,2003,10131,911.79
MISS,2004,5131,461.79
MISS,2005,6690,602.1
MISS,2006,10778,970.02
MISS,2007,3898,350.82
MISS,2008,1236,111.24
MISS,2009,689,62.01
MISS,2010,993,89.37
MISS,2011,1062,95.58
MISS,2012,2102,189.18
MISS,2013,1802,162.18
MISS,2014,1294,116.46
MISS,2015,3184,286.56
MISS,2016,2285,205.65
MISS,2017,6184,556.56
MISS,2018,3601,324.09
MISS,2019,3659,329.31
SACN,1990,10500,945.0
SACN,1991,11263,1013.67
SACN,1992,13092,1178.28
SACN,1993,13224,1190.16
SACN,1994,27784,2500.56
SACN,1995,11329,1019.61
SACN,1996,22542,2028.78
SACN,1997,50846,4576.14
SACN,1998,17782,1600.38
SACN,1999,18963,1706.67
SACN,2000,16193,1457.37
SACN,2001,37949,3415.41
SACN,2002,10943,984.87
SACN,2003,18214,1639.26
SACN,2004,21348,1921.32
SACN,2005,14179,1276.11
SACN,2006,21373,1923.57
SACN,2007,12842,1155.78
SACN,2008,14182,1276.38
SACN,2009,14311,1287.99
SACN,2010,27667,2490.03
SACN,2011,32237,2901.33
SACN,2012,19858,1787.22
SACN,2013,13255,1192.95
SACN,2014,12336,1110.24
SACN,2015,12881,1159.29
SACN,2016,10018,901.62
SACN,2017,12334,1110.06
SACN,2018,7839,705.51
SACN,2019,11292,1016.28
SACN,2020,9285,835.65
SLBE,1990,4799,431.91
SLBE,1991,4155,373.95
SLBE,1992,3883,349.47
SLBE,1993,2310,207.9
SLBE,1994,4139,372.51
SLBE,1995,6421,577.89
SLBE,1996,6044,543.96
SLBE,1997,6089,548.01
SLBE,1998,5446,490.14
SLBE,1999,3359,302.31
SLBE,2000,4845,436.05
SLBE,2001,5571,501.39
SLBE,2002,4593,413.37
SLBE,2003,5654,508.86
SLBE,2004,4559,410.31
SLBE,2005,6528,587.52
SLBE,2006,9887,889.83
SLBE,2007,5551,499.59
SLBE,2008,4165,374.85
SLBE,2009,8443,759.87
SLBE,2010,4868,438.12
SLBE,2011,4145,373.05
SLBE,2012,8578,772.02
SLBE,2013,3021,271.89
SLBE,2014,10727,965.43
SLBE,2015,8930,803.7
SLBE,2016,11512,1036.08
SLBE,2017,6593,593.37
SLBE,2018,8148,733.32
SLBE,2019,7262,653.58
SLBE,2020,9242,831.78
SLBE,2021,6498,584.82
VOYA,1995,31732,2855.88
VOYA,1996,30534,2748.06
VOYA,1997,48880,4399.2
VOYA,1998,34201,3078.09
VOYA,1999,45451,4090.59
VOYA,2000,78071,7026.39
VOYA,2001,41551,3739.59
VOYA,2002,33888,3049.92
VOYA,2003,47226,4250.34
VOYA,2004,42820,3853.8
VOYA,2005,37144,3342.96
VOYA,2006,22094,1988.46
VOYA,2007,23472,2112.48
VOYA,2008,19272,1734.48
VOYA,2009,25515,2296.35
VOYA,2010,21812,1963.08
VOYA,2011,26829,2414.61
VOYA,2012,30515,2746.35
VOYA,2013,11993,1079.37
