subregion,year,attributed_pixels,single_label_pixels,multi_label_pixels,pct_multi_label
LEWI,1985,2709,2709,0,0.0
LEWI,1986,2544,2544,0,0.0
LEWI,1987,7077,7077,0,0.0
LEWI,1988,2256,2256,0,0.0
LEWI,1989,9163,9163,0,0.0
LEWI,1990,725,725,0,0.0
LEWI,1991,4832,4832,0,0.0
LEWI,1992,8588,8588,0,0.0
LEWI,1993,9051,9051,0,0.0
LEWI,1994,13613,13613,0,0.0
LEWI,1995,567,567,0,0.0
LEWI,1996,1768,1768,0,0.0
LEWI,1997,10376,10376,0,0.0
LEWI,1998,2697,2697,0,0.0
LEWI,1999,9619,9619,0,0.0
LEWI,2000,3375,3375,0,0.0
LEWI,2001,6451,6451,0,0.0
LEWI,2002,9118,9118,0,0.0
LEWI,2003,10257,10257,0,0.0
LEWI,2004,19974,19974,0,0.0
LEWI,2005,381,381,0,0.0
LEWI,2006,18846,18846,0,0.0
LEWI,2007,23051,23051,0,0.0
LEWI,2008,60571,60571,0,0.0
LEWI,2009,6565,6565,0,0.0
LEWI,2010,12295,12295,0,0.0
LEWI,2011,2677,2677,0,0.0
MORA,1987,139,139,0,0.0
MORA,1988,180,180,0,0.0
MORA,1989,248,248,0,0.0
MORA,1990,1708,1708,0,0.0
MORA,1991,121,121,0,0.0
MORA,1992,73,73,0,0.0
MORA,1993,33,33,0,0.0
MORA,1994,277,277,0,0.0
MORA,1995,318,318,0,0.0
MORA,1996,443,443,0,0.0
MORA,1997,124,124,0,0.0
MORA,1998,1139,1139,0,0.0
MORA,1999,1667,1667,0,0.0
MORA,2000,20112,20112,0,0.0
MORA,2001,14490,14490,0,0.0
MORA,2002,3271,3271,0,0.0
MORA,2003,9860,9860,0,0.0
MORA,2004,6008,6008,0,0.0
MORA,2005,254,254,0,0.0
MORA,2006,4620,4620,0,0.0
MORA,2007,4974,4974,0,0.0
MORA,2008,1105,1105,0,0.0
MORA,2009,1273,1273,0,0.0
MORA,2010,298,298,0,0.0
MORA,2011,298,298,0,0.0
MORA,2012,1122,1122,0,0.0
MORA,2013,10,10,0,0.0
MORA,2014,563,563,0,0.0
MORA,2015,102,102,0,0.0
MORA,2016,370,370,0,0.0
MORA,2017,155765,155765,0,0.0
NOCA,1987,556,556,0,0.0
NOCA,1988,899,899,0,0.0
NOCA,1989,1057,1057,0,0.0
NOCA,1990,10669,10669,0,0.0
NOCA,1991,1043,1043,0,0.0
NOCA,1992,461,461,0,0.0
NOCA,1993,423,423,0,0.0
NOCA,1994,21107,21107,0,0.0
NOCA,1995,1761,1761,0,0.0
NOCA,1996,15396,15396,0,0.0
NOCA,1997,3499,3498,1,0.0286
NOCA,1998,956,956,0,0.0
NOCA,1999,1033,1033,0,0.0
NOCA,2000,2687,2687,0,0.0
NOCA,2001,106077,106077,0,0.0
NOCA,2002,3207,3207,0,0.0
NOCA,2003,22192,22188,4,0.018
NOCA,2004,30972,30917,55,0.1776
NOCA,2005,11939,11939,0,0.0
NOCA,2006,60042,59661,381,0.6346
NOCA,2007,33796,32849,947,2.8021
NOCA,2008,3174,3174,0,0.0
NOCA,2009,12560,12560,0,0.0
NOCA,2010,11033,11033,0,0.0
NOCA,2011,2805,2805,0,0.0
NOCA,2012,8594,8594,0,0.0
NOCA,2013,1733,1733,0,0.0
NOCA,2014,9891,9891,0,0.0
NOCA,2015,134332,134332,0,0.0
NOCA,2016,671,671,0,0.0
NOCA,2017,180,180,0,0.0
OLYM,1987,837,837,0,0.0
OLYM,1988,76,76,0,0.0
OLYM,1989,903,903,0,0.0
OLYM,1990,675,675,0,0.0
OLYM,1991,2768,2768,0,0.0
OLYM,1992,287,287,0,0.0
OLYM,1993,8,8,0,0.0
OLYM,1994,986,986,0,0.0
OLYM,1995,912,912,0,0.0
OLYM,1996,1819,1819,0,0.0
OLYM,1997,1374,1374,0,0.0
OLYM,1998,186,186,0,0.0
OLYM,1999,7419,7419,0,0.0
OLYM,2000,691,691,0,0.0
OLYM,2001,51,51,0,0.0
OLYM,2002,861,861,0,0.0
OLYM,2003,3065,3065,0,0.0
OLYM,2004,4965,4965,0,0.0
OLYM,2005,131,131,0,0.0
OLYM,2006,1519,1519,0,0.0
OLYM,2007,3557,3557,0,0.0
OLYM,2008,7941,7941,0,0.0
OLYM,2009,5114,5114,0,0.0
OLYM,2010,2200,2200,0,0.0
OLYM,2011,6508,6508,0,0.0
OLYM,2012,150,150,0,0.0
OLYM,2013,457,457,0,0.0
OLYM,2014,631,631,0,0.0
OLYM,2015,11962,11962,0,0.0
OLYM,2016,14256,14256,0,0.0
OLYM,2017,168,168,0,0.0
