subregion,year,native_class,pixel_count,area_ha
LEWI,1985,Agricultural Clearing,15,1.35
LEWI,1985,Clearing,2642,237.78
LEWI,1985,Development,52,4.68
LEWI,1986,Clearing,2502,225.18
LEWI,1986,Development,42,3.78
LEWI,1987,Clearing,6993,629.37
LEWI,1987,Development,84,7.56
LEWI,1988,Clearing,2078,187.02
LEWI,1988,Development,178,16.02
LEWI,1989,Agricultural Clearing,258,23.22
LEWI,1989,Clearing,8748,787.32
LEWI,1989,Development,157,14.13
LEWI,1990,Clearing,711,63.99
LEWI,1990,Development,14,1.26
LEWI,1991,Agricultural Clearing,52,4.68
LEWI,1991,Clearing,4594,413.46
LEWI,1991,Coastal,43,3.87
LEWI,1991,Development,143,12.87
LEWI,1992,Agricultural Clearing,338,30.42
LEWI,1992,Clearing,8035,723.15
LEWI,1992,Development,215,19.35
LEWI,1993,Agricultural Clearing,93,8.37
LEWI,1993,Clearing,8738,786.42
LEWI,1993,Development,220,19.8
LEWI,1994,Clearing,13522,1216.98
LEWI,1994,Development,91,8.19
LEWI,1995,Clearing,567,51.03
LEWI,1996,Clearing,1740,156.6
LEWI,1996,Development,28,2.52
LEWI,1997,Agricultural Clearing,30,2.7
LEWI,1997,Clearing,10255,922.95
LEWI,1997,Development,78,7.02
LEWI,1997,Mass Movement,13,1.17
LEWI,1998,Clearing,2305,207.45
LEWI,1998,Coastal,211,18.99
LEWI,1998,Development,181,16.29
LEWI,1999,Agricultural Clearing,24,2.16
LEWI,1999,Clearing,9385,844.65
LEWI,1999,Coastal,50,4.5
LEWI,1999,Development,160,14.4
LEWI,2000,Clearing,3171,285.39
LEWI,2000,Coastal,13,1.17
LEWI,2000,Development,180,16.2
LEWI,2000,Tree Toppling,11,0.99
LEWI,2001,Clearing,6190,557.1
LEWI,2001,Development,252,22.68
LEWI,2001,Tree Toppling,9,0.81
LEWI,2002,Agricultural Clearing,177,15.93
LEWI,2002,Clearing,8194,737.46
LEWI,2002,Coastal,6,0.54
LEWI,2002,Development,741,66.69
LEWI,2003,Agricultural Clearing,9,0.81
LEWI,2003,Clearing,10212,919.08
LEWI,2003,Development,36,3.24
LEWI,2004,Agricultural Clearing,78,7.02
LEWI,2004,Clearing,19344,1740.96
LEWI,2004,Development,515,46.35
LEWI,2004,Progressive Defoliation,18,1.62
LEWI,2004,Tree Toppling,19,1.71
LEWI,2005,Clearing,381,34.29
LEWI,2006,Clearing,18476,1662.84
LEWI,2006,Coastal,33,2.97
LEWI,2006,Development,189,17.01
LEWI,2006,Tree Toppling,148,13.32
LEWI,2007,Agricultural Clearing,10,0.9
LEWI,2007,Clearing,22665,2039.85
LEWI,2007,Coastal,17,1.53
LEWI,2007,Development,189,17.01
LEWI,2007,Tree Toppling,170,15.3
LEWI,2008,Agricultural Clearing,74,6.66
LEWI,2008,Clearing,16534,1488.06
LEWI,2008,Coastal,26,2.34
LEWI,2008,Development,478,43.02
LEWI,2008,Mass Movement,47,4.23
LEWI,2008,Progressive Defoliation,27,2.43
LEWI,2008,Tree Toppling,8143,732.87
LEWI,2008,Wetland Restoration,21,1.89
LEWI,2008,Windthrow Salvage,35221,3169.89
LEWI,2009,Clearing,3032,272.88
LEWI,2009,Coastal,30,2.7
LEWI,2009,Development,123,11.07
LEWI,2009,Tree Toppling,80,7.2
LEWI,2009,Windthrow Salvage,3300,297.0
LEWI,2010,Clearing,9773,879.57
LEWI,2010,Development,50,4.5
LEWI,2010,Tree Toppling,129,11.61
LEWI,2010,Windthrow Salvage,2343,210.87
LEWI,2011,Clearing,2608,234.72
LEWI,2011,Tree Toppling,69,6.21
MORA,1987,Fire,102,9.18
MORA,1987,Riparian Change,37,3.33
MORA,1988,Riparian Change,180,16.2
MORA,1989,Riparian Change,248,22.32
