dataset,aoi,year,change_class,Event_type,In_Park,Dist_name,Chnge_type,pct_own_area_outside,centroid_dist_to_aoi_m
MORA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2000,Defoliation,Office,N,,,19.823732403725643,0.0
MORA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2000,Defoliation,Office,N,,,11.84080438046426,0.0
MORA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2000,Defoliation,Office,N,,,34.63444401033692,0.0
MORA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2000,Defoliation,Office,N,,,21.497642884279546,0.0
MORA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2000,Defoliation,Office,N,,,10.93094375698542,0.0
MORA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2000,Defoliation,Office,N,,,1.8233274906465873,0.0
MORA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2000,Defoliation,Office,N,,,1.8341069139698836,0.0
MORA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2000,Defoliation,Office,N,,,1.788084847637763,0.0
MORA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2000,Defoliation,Office,N,,,13.496269634693004,0.0
MORA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2001,Defoliation,Office,N,,,39.37098027071237,0.0
MORA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2001,Defoliation,Office,N,,,2.738059228175829,0.0
MORA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2001,Defoliation,Office,N,,,36.5304615372759,0.0
MORA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2002,Defoliation,Office,N,,,28.632515496656524,0.0
MORA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2002,Defoliation,Office,N,,,9.020485283636429,0.0
MORA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2002,Defoliation,Office,N,,,49.59280327218057,0.0
MORA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2003,Defoliation,Office,N,,,27.832777824471584,0.0
MORA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2003,Defoliation,Office,N,,,47.447050310007135,0.0
MORA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2004,Defoliation,Office,N,,,4.927543379082006,0.0
MORA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2004,Defoliation,Office,N,,,49.070772410366516,0.0
MORA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2004,Defoliation,Office,N,,,50.51381972343415,0.0
MORA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2006,Defoliation,Office,N,,,8.516465338837692,0.0
MORA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2007,Fire,Office,N,Rattlesnake Creek,,30.0874975412659,0.0
MORA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2009,Fire,Office,N,Twin Peaks,,22.044030471665327,0.0
MORA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2007,Fire,Office,N,Rattlesnake Creek,,0.00011335876894608914,0.0
MORA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2001,Fire,Office,N,Dog Creek,,0.8685292924603284,0.0
MORA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2017,Fire,Office,N,Norse Peak,,0.15530268133995836,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,1988,Riparian Change,Office,Y,,,17.668709087338783,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,1990,Fire,Office,N,Bacon Creek,,19.52084322218087,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,1994,Avalanche,Office,N,,,37.37497789882726,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,1996,Riparian Change,Office,Y,,,8.271291617101978,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,1996,Riparian Change,Office,Y,,,0.6052662771847206,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,1998,Fire,Office,N,White Pass,,6.084111116846071,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,1999,Blowdown,Office,Y,,,15.249619281695344,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,1999,Defoliation,Office,N,,,0.5800458038895967,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,1999,Defoliation,Office,N,,,24.360207316235126,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,1999,Defoliation,Office,N,,,0.8332053210372812,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,1999,Defoliation,Office,N,,,31.047420332266014,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2000,Defoliation,Office,N,,,8.445412345267211,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2000,Defoliation,Office,N,,,0.19406299974109867,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2000,Defoliation,Office,N,,,28.09201989617221,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2000,Defoliation,Office,N,,,29.42519691997066,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2000,Defoliation,Office,N,,,17.414439412087937,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2000,Defoliation,Office,N,,,15.074228235266691,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2000,Defoliation,Office,N,,,21.65355167768045,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2000,Defoliation,Office,N,,,31.758667010711914,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2000,Defoliation,Office,N,,,2.08783416562996,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2000,Defoliation,Office,N,,,23.484861814931186,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2000,Defoliation,Office,N,,,23.555910386212126,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2000,Defoliation,Office,N,,,30.679417988927263,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2000,Defoliation,Office,N,,,41.36220718637577,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2000,Defoliation,Office,N,,,39.30201545764606,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2000,Defoliation,Office,N,,,3.3249347042963877,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2000,Defoliation,Office,N,,,37.71941408292197,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2000,Defoliation,Office,N,,,52.83846525169989,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2000,Defoliation,Office,N,,,51.40034488571666,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2000,Defoliation,Office,N,,,40.84807533129181,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2000,Defoliation,Office,N,,,12.5773677654003,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2000,Defoliation,Office,N,,,1.0652631231582153,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2000,Defoliation,Office,N,,,30.905371344272417,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2000,Defoliation,Office,N,,,28.984035046411137,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2000,Defoliation,Office,N,,,42.27985388620205,0.0
