source,subregion,existing_attributed_pixel_years,aoi_constrained_attributed_pixel_years,abs_diff,pct_diff
NCCN,MORA,261833,230965,-30868,-11.789
NCCN,NOCA,524866,514745,-10121,-1.928
NCCN,OLYM,84385,82477,-1908,-2.261
NCCN,LEWI,259296,259146,-150,-0.058
GLKN-primary,APIS,1173708,1173708,0,0.0
GLKN-primary,INDU,15111,15111,0,0.0
GLKN-primary,ISRO,1290342,1290169,-173,-0.013
GLKN-primary,MISS,201939,201939,0,0.0
GLKN-primary,SACN,547861,547861,0,0.0
GLKN-primary,SLBE,195965,195965,0,0.0
GLKN-primary,VOYA,653000,653000,0,0.0
