subregion,year,attributed_pixels,single_label_pixels,multi_label_pixels,pct_multi_label
LEWI,1985,2711,2711,0,0.0
LEWI,1986,2549,2549,0,0.0
LEWI,1987,7079,7079,0,0.0
LEWI,1988,2256,2256,0,0.0
LEWI,1989,9164,9164,0,0.0
LEWI,1990,725,725,0,0.0
LEWI,1991,4835,4835,0,0.0
LEWI,1992,8592,8592,0,0.0
LEWI,1993,9056,9056,0,0.0
LEWI,1994,13613,13613,0,0.0
LEWI,1995,567,567,0,0.0
LEWI,1996,1768,1768,0,0.0
LEWI,1997,10378,10378,0,0.0
LEWI,1998,2716,2716,0,0.0
LEWI,1999,9628,9628,0,0.0
LEWI,2000,3375,3375,0,0.0
LEWI,2001,6456,6456,0,0.0
LEWI,2002,9124,9124,0,0.0
LEWI,2003,10265,10265,0,0.0
LEWI,2004,19980,19980,0,0.0
LEWI,2005,381,381,0,0.0
LEWI,2006,18855,18855,0,0.0
LEWI,2007,23062,23062,0,0.0
LEWI,2008,60600,60600,0,0.0
LEWI,2009,6572,6572,0,0.0
LEWI,2010,12308,12308,0,0.0
LEWI,2011,2681,2681,0,0.0
MORA,1987,139,139,0,0.0
MORA,1988,184,184,0,0.0
MORA,1989,248,248,0,0.0
MORA,1990,1942,1942,0,0.0
MORA,1991,121,121,0,0.0
MORA,1992,73,73,0,0.0
MORA,1993,33,33,0,0.0
MORA,1994,283,283,0,0.0
MORA,1995,318,318,0,0.0
MORA,1996,446,446,0,0.0
MORA,1997,124,124,0,0.0
MORA,1998,1201,1201,0,0.0
MORA,1999,1678,1678,0,0.0
MORA,2000,21176,21176,0,0.0
MORA,2001,15831,15831,0,0.0
MORA,2002,3478,3478,0,0.0
MORA,2003,9910,9910,0,0.0
MORA,2004,6112,6112,0,0.0
MORA,2005,257,257,0,0.0
MORA,2006,4634,4634,0,0.0
MORA,2007,5089,5089,0,0.0
MORA,2008,1107,1107,0,0.0
MORA,2009,1556,1556,0,0.0
MORA,2010,302,302,0,0.0
MORA,2011,298,298,0,0.0
MORA,2012,1122,1122,0,0.0
MORA,2013,10,10,0,0.0
MORA,2014,563,563,0,0.0
MORA,2015,102,102,0,0.0
MORA,2016,370,370,0,0.0
MORA,2017,183126,183126,0,0.0
NOCA,1987,592,592,0,0.0
NOCA,1988,1051,1051,0,0.0
NOCA,1989,1057,1057,0,0.0
NOCA,1990,10804,10804,0,0.0
NOCA,1991,1051,1051,0,0.0
NOCA,1992,461,461,0,0.0
NOCA,1993,423,423,0,0.0
NOCA,1994,21107,21107,0,0.0
NOCA,1995,1761,1761,0,0.0
NOCA,1996,15404,15404,0,0.0
NOCA,1997,3505,3504,1,0.0285
NOCA,1998,956,956,0,0.0
NOCA,1999,1043,1043,0,0.0
NOCA,2000,2693,2693,0,0.0
NOCA,2001,109686,109686,0,0.0
NOCA,2002,3213,3213,0,0.0
NOCA,2003,24367,24363,4,0.0164
NOCA,2004,31209,31154,55,0.1762
NOCA,2005,12058,12058,0,0.0
NOCA,2006,61882,61501,381,0.6157
NOCA,2007,33895,32948,947,2.7939
NOCA,2008,3198,3198,0,0.0
NOCA,2009,12626,12626,0,0.0
NOCA,2010,11042,11042,0,0.0
NOCA,2011,2816,2816,0,0.0
NOCA,2012,8594,8594,0,0.0
NOCA,2013,2110,2110,0,0.0
NOCA,2014,9895,9895,0,0.0
NOCA,2015,135516,135516,0,0.0
NOCA,2016,671,671,0,0.0
NOCA,2017,180,180,0,0.0
OLYM,1987,856,856,0,0.0
OLYM,1988,76,76,0,0.0
OLYM,1989,903,903,0,0.0
OLYM,1990,684,684,0,0.0
OLYM,1991,2769,2769,0,0.0
OLYM,1992,298,298,0,0.0
OLYM,1993,8,8,0,0.0
OLYM,1994,986,986,0,0.0
OLYM,1995,927,927,0,0.0
OLYM,1996,1829,1829,0,0.0
OLYM,1997,1378,1378,0,0.0
OLYM,1998,186,186,0,0.0
OLYM,1999,7419,7419,0,0.0
OLYM,2000,691,691,0,0.0
OLYM,2001,51,51,0,0.0
OLYM,2002,868,868,0,0.0
OLYM,2003,3070,3070,0,0.0
OLYM,2004,5000,5000,0,0.0
OLYM,2005,131,131,0,0.0
OLYM,2006,2934,2934,0,0.0
OLYM,2007,3627,3627,0,0.0
OLYM,2008,7992,7992,0,0.0
OLYM,2009,5342,5342,0,0.0
OLYM,2010,2212,2212,0,0.0
OLYM,2011,6514,6514,0,0.0
OLYM,2012,150,150,0,0.0
OLYM,2013,459,459,0,0.0
OLYM,2014,631,631,0,0.0
OLYM,2015,11962,11962,0,0.0
OLYM,2016,14264,14264,0,0.0
OLYM,2017,168,168,0,0.0
