subregion,native_class,pixel_count,area_ha
LEWI,Agricultural Clearing,1158,104.22
LEWI,Clearing,203495,18314.55
LEWI,Coastal,453,40.77
LEWI,Development,4396,395.64
LEWI,Mass Movement,60,5.4
LEWI,Progressive Defoliation,45,4.05
LEWI,Tree Toppling,8782,790.38
LEWI,Wetland Restoration,21,1.89
LEWI,Windthrow Salvage,40886,3679.74
MORA,Avalanche,1430,128.7
MORA,Blowdown,1183,106.47
MORA,Clearing,13,1.17
MORA,Defoliation,56171,5055.39
MORA,Development,10,0.9
MORA,Fire,194203,17478.27
MORA,Mass Movement,586,52.74
MORA,Riparian Change,8237,741.33
NOCA,Avalanche,25056,2255.04
NOCA,Blowdown,925,83.25
NOCA,Clearing,1087,97.83
NOCA,Defoliation,51487,4633.83
NOCA,Development,238,21.42
NOCA,Fire,432329,38909.61
NOCA,Mass Movement,8358,752.22
NOCA,Riparian Change,6774,609.66
OLYM,Avalanche,10045,904.05
OLYM,Blowdown,7792,701.28
OLYM,Clearing,45,4.05
OLYM,Coastal Change,39,3.51
OLYM,Defoliation,390,35.1
OLYM,Development,40,3.6
OLYM,Fire,44488,4003.92
OLYM,Ice Damage,115,10.35
OLYM,Mass Movement,3388,304.92
OLYM,Riparian Change,18043,1623.87
