subregion,year,native_class,pixel_count,area_ha,spatial_prevalence_pct
LEWI,1985,Clearing,2644,237.96,97.529
LEWI,1985,Development,52,4.68,1.918
LEWI,1985,Agricultural Clearing,15,1.35,0.553
LEWI,1986,Clearing,2507,225.63,98.352
LEWI,1986,Development,42,3.78,1.648
LEWI,1987,Clearing,6995,629.55,98.813
LEWI,1987,Development,84,7.56,1.187
LEWI,1988,Clearing,2078,187.02,92.11
LEWI,1988,Development,178,16.02,7.89
LEWI,1989,Clearing,8749,787.41,95.471
LEWI,1989,Agricultural Clearing,258,23.22,2.815
LEWI,1989,Development,157,14.13,1.713
LEWI,1990,Clearing,711,63.99,98.069
LEWI,1990,Development,14,1.26,1.931
LEWI,1991,Clearing,4597,413.73,95.078
LEWI,1991,Development,143,12.87,2.958
LEWI,1991,Agricultural Clearing,52,4.68,1.075
LEWI,1991,Coastal,43,3.87,0.889
LEWI,1992,Clearing,8039,723.51,93.564
LEWI,1992,Agricultural Clearing,338,30.42,3.934
LEWI,1992,Development,215,19.35,2.502
LEWI,1993,Clearing,8743,786.87,96.544
LEWI,1993,Development,220,19.8,2.429
LEWI,1993,Agricultural Clearing,93,8.37,1.027
LEWI,1994,Clearing,13522,1216.98,99.332
LEWI,1994,Development,91,8.19,0.668
LEWI,1995,Clearing,567,51.03,100.0
LEWI,1996,Clearing,1740,156.6,98.416
LEWI,1996,Development,28,2.52,1.584
LEWI,1997,Clearing,10257,923.13,98.834
LEWI,1997,Development,78,7.02,0.752
LEWI,1997,Agricultural Clearing,30,2.7,0.289
LEWI,1997,Mass Movement,13,1.17,0.125
LEWI,1998,Clearing,2306,207.54,84.904
LEWI,1998,Coastal,229,20.61,8.432
LEWI,1998,Development,181,16.29,6.664
LEWI,1999,Clearing,9394,845.46,97.57
LEWI,1999,Development,160,14.4,1.662
LEWI,1999,Coastal,50,4.5,0.519
LEWI,1999,Agricultural Clearing,24,2.16,0.249
LEWI,2000,Clearing,3171,285.39,93.956
LEWI,2000,Development,180,16.2,5.333
LEWI,2000,Coastal,13,1.17,0.385
LEWI,2000,Tree Toppling,11,0.99,0.326
LEWI,2001,Clearing,6195,557.55,95.957
LEWI,2001,Development,252,22.68,3.903
LEWI,2001,Tree Toppling,9,0.81,0.139
LEWI,2002,Clearing,8198,737.82,89.851
LEWI,2002,Development,741,66.69,8.121
LEWI,2002,Agricultural Clearing,177,15.93,1.94
LEWI,2002,Coastal,8,0.72,0.088
LEWI,2003,Clearing,10220,919.8,99.562
LEWI,2003,Development,36,3.24,0.351
LEWI,2003,Agricultural Clearing,9,0.81,0.088
LEWI,2004,Clearing,19350,1741.5,96.847
LEWI,2004,Development,515,46.35,2.578
LEWI,2004,Agricultural Clearing,78,7.02,0.39
LEWI,2004,Tree Toppling,19,1.71,0.095
LEWI,2004,Progressive Defoliation,18,1.62,0.09
LEWI,2005,Clearing,381,34.29,100.0
LEWI,2006,Clearing,18485,1663.65,98.038
LEWI,2006,Development,189,17.01,1.002
LEWI,2006,Tree Toppling,148,13.32,0.785
LEWI,2006,Coastal,33,2.97,0.175
LEWI,2007,Clearing,22676,2040.84,98.326
LEWI,2007,Development,189,17.01,0.82
LEWI,2007,Tree Toppling,170,15.3,0.737
