subregion,year,total_pixel_count,total_area_ha
LEWI,1985,2711,243.99
LEWI,1986,2549,229.41
LEWI,1987,7079,637.11
LEWI,1988,2256,203.04
LEWI,1989,9164,824.76
LEWI,1990,725,65.25
LEWI,1991,4835,435.15
LEWI,1992,8592,773.28
LEWI,1993,9056,815.04
LEWI,1994,13613,1225.17
LEWI,1995,567,51.03
LEWI,1996,1768,159.12
LEWI,1997,10378,934.02
LEWI,1998,2716,244.44
LEWI,1999,9628,866.52
LEWI,2000,3375,303.75
LEWI,2001,6456,581.04
LEWI,2002,9124,821.16
LEWI,2003,10265,923.85
LEWI,2004,19980,1798.2
LEWI,2005,381,34.29
LEWI,2006,18855,1696.95
LEWI,2007,23062,2075.58
LEWI,2008,60600,5454.0
LEWI,2009,6572,591.48
LEWI,2010,12308,1107.72
LEWI,2011,2681,241.29
MORA,1987,139,12.51
MORA,1988,184,16.56
MORA,1989,248,22.32
MORA,1990,1942,174.78
MORA,1991,121,10.89
MORA,1992,73,6.57
MORA,1993,33,2.97
MORA,1994,283,25.47
MORA,1995,318,28.62
MORA,1996,446,40.14
MORA,1997,124,11.16
MORA,1998,1201,108.09
MORA,1999,1678,151.02
MORA,2000,21176,1905.84
MORA,2001,15831,1424.79
MORA,2002,3478,313.02
MORA,2003,9910,891.9
MORA,2004,6112,550.08
MORA,2005,257,23.13
MORA,2006,4634,417.06
MORA,2007,5089,458.01
MORA,2008,1107,99.63
MORA,2009,1556,140.04
MORA,2010,302,27.18
MORA,2011,298,26.82
MORA,2012,1122,100.98
MORA,2013,10,0.9
MORA,2014,563,50.67
MORA,2015,102,9.18
MORA,2016,370,33.3
MORA,2017,183126,16481.34
NOCA,1987,592,53.28
NOCA,1988,1051,94.59
NOCA,1989,1057,95.13
NOCA,1990,10804,972.36
NOCA,1991,1051,94.59
NOCA,1992,461,41.49
NOCA,1993,423,38.07
NOCA,1994,21107,1899.63
NOCA,1995,1761,158.49
NOCA,1996,15404,1386.36
NOCA,1997,3506,315.54
NOCA,1998,956,86.04
NOCA,1999,1043,93.87
NOCA,2000,2693,242.37
NOCA,2001,109686,9871.74
NOCA,2002,3213,289.17
NOCA,2003,24371,2193.39
NOCA,2004,31264,2813.76
NOCA,2005,12058,1085.22
NOCA,2006,62263,5603.67
NOCA,2007,34842,3135.78
NOCA,2008,3198,287.82
NOCA,2009,12626,1136.34
NOCA,2010,11042,993.78
NOCA,2011,2816,253.44
NOCA,2012,8594,773.46
NOCA,2013,2110,189.9
NOCA,2014,9895,890.55
NOCA,2015,135516,12196.44
NOCA,2016,671,60.39
NOCA,2017,180,16.2
OLYM,1987,856,77.04
OLYM,1988,76,6.84
OLYM,1989,903,81.27
OLYM,1990,684,61.56
OLYM,1991,2769,249.21
OLYM,1992,298,26.82
OLYM,1993,8,0.72
OLYM,1994,986,88.74
OLYM,1995,927,83.43
OLYM,1996,1829,164.61
OLYM,1997,1378,124.02
OLYM,1998,186,16.74
OLYM,1999,7419,667.71
OLYM,2000,691,62.19
OLYM,2001,51,4.59
OLYM,2002,868,78.12
OLYM,2003,3070,276.3
OLYM,2004,5000,450.0
OLYM,2005,131,11.79
OLYM,2006,2934,264.06
OLYM,2007,3627,326.43
OLYM,2008,7992,719.28
OLYM,2009,5342,480.78
OLYM,2010,2212,199.08
OLYM,2011,6514,586.26
OLYM,2012,150,13.5
OLYM,2013,459,41.31
OLYM,2014,631,56.79
OLYM,2015,11962,1076.58
OLYM,2016,14264,1283.76
OLYM,2017,168,15.12
