source,subregion,subregion_name,native_class,pixel_count,area_ha,spatial_prevalence_pct
NCCN,LEWI,LEWI,Clearing,203495,18314.55,78.48
NCCN,LEWI,LEWI,Windthrow Salvage,40886,3679.74,15.768
NCCN,LEWI,LEWI,Tree Toppling,8782,790.38,3.387
NCCN,LEWI,LEWI,Development,4396,395.64,1.695
NCCN,LEWI,LEWI,Agricultural Clearing,1158,104.22,0.447
NCCN,LEWI,LEWI,Coastal,453,40.77,0.175
NCCN,LEWI,LEWI,Mass Movement,60,5.4,0.023
NCCN,LEWI,LEWI,Progressive Defoliation,45,4.05,0.017
NCCN,LEWI,LEWI,Wetland Restoration,21,1.89,0.008
NCCN,MORA,MORA,Fire,194203,17478.27,74.171
NCCN,MORA,MORA,Defoliation,56171,5055.39,21.453
NCCN,MORA,MORA,Riparian Change,8237,741.33,3.146
NCCN,MORA,MORA,Avalanche,1430,128.7,0.546
NCCN,MORA,MORA,Blowdown,1183,106.47,0.452
NCCN,MORA,MORA,Mass Movement,586,52.74,0.224
NCCN,MORA,MORA,Clearing,13,1.17,0.005
NCCN,MORA,MORA,Development,10,0.9,0.004
NCCN,NOCA,NOCA,Fire,432329,38909.61,82.369
NCCN,NOCA,NOCA,Defoliation,51487,4633.83,9.81
NCCN,NOCA,NOCA,Avalanche,25056,2255.04,4.774
NCCN,NOCA,NOCA,Mass Movement,8358,752.22,1.592
NCCN,NOCA,NOCA,Riparian Change,6774,609.66,1.291
NCCN,NOCA,NOCA,Clearing,1087,97.83,0.207
NCCN,NOCA,NOCA,Blowdown,925,83.25,0.176
NCCN,NOCA,NOCA,Development,238,21.42,0.045
NCCN,OLYM,OLYM,Fire,44488,4003.92,52.72
NCCN,OLYM,OLYM,Riparian Change,18043,1623.87,21.382
NCCN,OLYM,OLYM,Avalanche,10045,904.05,11.904
NCCN,OLYM,OLYM,Blowdown,7792,701.28,9.234
NCCN,OLYM,OLYM,Mass Movement,3388,304.92,4.015
NCCN,OLYM,OLYM,Defoliation,390,35.1,0.462
NCCN,OLYM,OLYM,Ice Damage,115,10.35,0.136
NCCN,OLYM,OLYM,Clearing,45,4.05,0.053
NCCN,OLYM,OLYM,Development,40,3.6,0.047
NCCN,OLYM,OLYM,Coastal Change,39,3.51,0.046
GLKN_primary,APIS,APIS,harvest,575591,51803.19,49.04
GLKN_primary,APIS,APIS,insect_disease_defo,532857,47957.13,45.399
GLKN_primary,APIS,APIS,development,44160,3974.4,3.762
GLKN_primary,APIS,APIS,beaver,5723,515.07,0.488
GLKN_primary,APIS,APIS,fire,5421,487.89,0.462
GLKN_primary,APIS,APIS,agriculture,5052,454.68,0.43
GLKN_primary,APIS,APIS,blowdown,2872,258.48,0.245
GLKN_primary,APIS,APIS,unknown,1858,167.22,0.158
GLKN_primary,APIS,APIS,insect_disease_mort,120,10.8,0.01
GLKN_primary,APIS,APIS,flooding,54,4.86,0.005
GLKN_primary,INDU,INDU,development,11646,1048.14,77.07
GLKN_primary,INDU,INDU,harvest,1490,134.1,9.86
GLKN_primary,INDU,INDU,unknown,1130,101.7,7.478
GLKN_primary,INDU,INDU,flooding,543,48.87,3.593
GLKN_primary,INDU,INDU,agriculture,302,27.18,1.999
GLKN_primary,ISRO,ISRO,harvest,634627,57116.43,49.183
GLKN_primary,ISRO,ISRO,insect_disease_defo,588932,53003.88,45.642
GLKN_primary,ISRO,ISRO,development,40345,3631.05,3.127
GLKN_primary,ISRO,ISRO,beaver,20266,1823.94,1.571
GLKN_primary,ISRO,ISRO,agriculture,3400,306.0,0.263
GLKN_primary,ISRO,ISRO,insect_disease_mort,1437,129.33,0.111
GLKN_primary,ISRO,ISRO,blowdown,646,58.14,0.05
GLKN_primary,ISRO,ISRO,unknown,472,42.48,0.037
GLKN_primary,ISRO,ISRO,fire,217,19.53,0.017
GLKN_primary,MISS,MISS,development,199393,17945.37,98.739
GLKN_primary,MISS,MISS,agriculture,906,81.54,0.449
GLKN_primary,MISS,MISS,unknown,701,63.09,0.347
GLKN_primary,MISS,MISS,flooding,335,30.15,0.166
GLKN_primary,MISS,MISS,insect_disease_mort,328,29.52,0.162
GLKN_primary,MISS,MISS,harvest,217,19.53,0.107
GLKN_primary,MISS,MISS,blowdown,31,2.79,0.015
GLKN_primary,MISS,MISS,fire,28,2.52,0.014
GLKN_primary,SACN,SACN,harvest,413583,37222.47,75.49
GLKN_primary,SACN,SACN,development,112499,10124.91,20.534
GLKN_primary,SACN,SACN,blowdown,7657,689.13,1.398
GLKN_primary,SACN,SACN,agriculture,6021,541.89,1.099
GLKN_primary,SACN,SACN,beaver,4283,385.47,0.782
